time (fs),deltaI
-14.65699588,-0.949749576
-14.72128095,-0.919598827
-14.78556602,-0.914573702
-14.84985109,-0.894473203
-14.91413616,-0.874372704
-14.97842123,-0.864322454
-15.0427063,-0.884422954
-15.10699137,-0.879397829
-15.17127644,-0.894473203
-15.23556151,-0.919598827
-15.29984657,-0.934674202
-15.36413164,-0.959799826
-15.42841671,-0.979900325
-15.49270178,-0.979900325
-15.55698685,-1.000000824
-15.62127192,-0.98492545
-15.68555699,-0.979900325
-15.74984206,-0.96482495
-15.81412713,-0.924623952
-15.8784122,-0.874372704
-15.94269727,-0.83919683
-16.00698234,-0.783920458
-16.07126741,-0.753769709
-16.13555248,-0.71356871
-16.19983755,-0.683417962
-16.26412262,-0.693468211
-16.32840769,-0.703518461
-16.39269276,-0.748744584
-16.45697783,-0.768845083
-16.5212629,-0.829146581
-16.58554797,-0.874372704
-16.64983304,-0.914573702
-16.71411811,-0.954774701
-16.77840318,-0.9748752
-16.84268825,-0.98492545
-16.90697332,-1.005025949
-16.97125839,-0.994975699
-17.03554346,-0.9748752
-17.09982852,-0.924623952
-17.16411359,-0.899498328
-17.22839866,-0.874372704
-17.29268373,-0.84924708
-17.3569688,-0.85929733
-17.42125387,-0.854272205
-17.48553894,-0.869347579
-17.54982401,-0.939699326
-17.61410908,-0.969850075
-17.67839415,-1.030151573
-17.74267922,-1.09045307
-17.80696429,-1.135679194
-17.87124936,-1.165829942
-17.93553443,-1.170855067
-17.9998195,-1.170855067
-18.06410457,-1.185930442
-18.12838964,-1.165829942
-18.19267471,-1.125628944
-18.25695978,-1.105528445
-18.32124485,-1.080402821
-18.38552992,-1.075377696
-18.44981499,-1.035176698
-18.51410006,-1.000000824
-18.57838513,-1.000000824
-18.6426702,-0.98492545
-18.70695527,-1.005025949
-18.77124034,-1.010051074
-18.83552541,-1.015076198
-18.89981047,-1.040201822
-18.96409554,-1.045226947
-19.02838061,-1.070352571
-19.09266568,-1.070352571
-19.15695075,-1.09045307
-19.22123582,-1.11055357
-19.28552089,-1.105528445
-19.34980596,-1.11055357
-19.41409103,-1.120603819
-19.4783761,-1.09045307
-19.54266117,-1.050252072
-19.60694624,-1.050252072
-19.67123131,-1.005025949
-19.73551638,-0.979900325
-19.79980145,-0.959799826
-19.86408652,-0.919598827
-19.92837159,-0.899498328
-19.99265666,-0.904523453
-20.05694173,-0.884422954
-20.1212268,-0.899498328
-20.18551187,-0.919598827
-20.24979694,-0.934674202
-20.31408201,-0.959799826
-20.37836708,-0.98492545
-20.44265215,-1.015076198
-20.50693722,-1.020101323
-20.57122229,-1.020101323
-20.63550736,-1.000000824
-20.69979242,-0.979900325
-20.76407749,-0.944724451
-20.82836256,-0.889448078
-20.89264763,-0.84924708
-20.9569327,-0.814071206
-21.02121777,-0.788945582
-21.08550284,-0.788945582
-21.14978791,-0.804020957
-21.21407298,-0.824121456
-21.27835805,-0.844221955
-21.34264312,-0.879397829
-21.40692819,-0.944724451
-21.47121326,-0.989950574
-21.53549833,-1.025126448
-21.5997834,-1.045226947
-21.66406847,-1.065327446
-21.72835354,-1.080402821
-21.79263861,-1.085427946
-21.85692368,-1.075377696
-21.92120875,-1.030151573
-21.98549382,-1.015076198
-22.04977889,-1.020101323
-22.11406396,-0.96482495
-22.17834903,-0.96482495
-22.2426341,-0.959799826
-22.30691917,-0.944724451
-22.37120424,-0.949749576
-22.43548931,-0.954774701
-22.49977437,-0.96482495
-22.56405944,-0.949749576
-22.62834451,-0.9748752
-22.69262958,-0.979900325
-22.75691465,-0.949749576
-22.82119972,-0.959799826
-22.88548479,-0.949749576
-22.94976986,-0.914573702
-23.01405493,-0.889448078
-23.07834,-0.884422954
-23.14262507,-0.84924708
-23.20691014,-0.809046082
-23.27119521,-0.768845083
-23.33548028,-0.73366921
-23.39976535,-0.698493336
-23.46405042,-0.683417962
-23.52833549,-0.668342587
-23.59262056,-0.673367712
-23.65690563,-0.653267213
-23.7211907,-0.658292338
-23.78547577,-0.688443086
-23.84976084,-0.728644085
-23.91404591,-0.758794834
-23.97833098,-0.773870208
-24.04261605,-0.804020957
-24.10690112,-0.83919683
-24.17118619,-0.854272205
-24.23547126,-0.864322454
-24.29975632,-0.84924708
-24.36404139,-0.829146581
-24.42832646,-0.819096331
-24.49261153,-0.773870208
-24.5568966,-0.753769709
-24.62118167,-0.72361896
-24.68546674,-0.71356871
-24.74975181,-0.698493336
-24.81403688,-0.718593835
-24.87832195,-0.763819958
-24.94260702,-0.783920458
-25.00689209,-0.854272205
-25.07117716,-0.914573702
-25.13546223,-0.994975699
-25.1997473,-1.060302322
-25.26403237,-1.10050332
-25.32831744,-1.125628944
-25.39260251,-1.160804818
-25.45688758,-1.150754568
-25.52117265,-1.140704318
-25.58545772,-1.120603819
-25.64974279,-1.065327446
-25.71402786,-1.005025949
-25.77831293,-0.98492545
-25.842598,-0.969850075
-25.90688307,-0.944724451
-25.97116814,-0.949749576
-26.03545321,-0.9748752
-26.09973827,-1.005025949
-26.16402334,-1.075377696
-26.22830841,-1.130654069
-26.29259348,-1.195980691
-26.35687855,-1.251257064
-26.42116362,-1.281407813
-26.48544869,-1.321608811
-26.54973376,-1.321608811
-26.61401883,-1.296483187
-26.6783039,-1.266332438
-26.74258897,-1.241206814
-26.80687404,-1.201005816
-26.87115911,-1.140704318
-26.93544418,-1.095478195
-26.99972925,-1.030151573
-27.06401432,-0.9748752
-27.12829939,-0.9748752
-27.19258446,-0.994975699
-27.25686953,-1.005025949
-27.3211546,-1.025126448
-27.38543967,-1.060302322
-27.44972474,-1.10050332
-27.51400981,-1.160804818
-27.57829488,-1.206030941
-27.64257995,-1.241206814
-27.70686502,-1.281407813
-27.77115009,-1.296483187
-27.83543516,-1.316583686
-27.89972022,-1.331659061
-27.96400529,-1.296483187
-28.02829036,-1.256282189
-28.09257543,-1.221106315
-28.1568605,-1.150754568
-28.22114557,-1.085427946
-28.28543064,-1.015076198
-28.34971571,-0.96482495
-28.41400078,-0.919598827
-28.47828585,-0.889448078
-28.54257092,-0.889448078
-28.60685599,-0.899498328
-28.67114106,-0.894473203
-28.73542613,-0.96482495
-28.7997112,-1.015076198
-28.86399627,-1.085427946
-28.92828134,-1.125628944
-28.99256641,-1.170855067
-29.05685148,-1.185930442
-29.12113655,-1.180905317
-29.18542162,-1.130654069
-29.24970669,-1.070352571
-29.31399176,-0.9748752
-29.37827683,-0.879397829
-29.4425619,-0.783920458
-29.50684697,-0.688443086
-29.57113204,-0.628141589
-29.63541711,-0.547739592
-29.69970217,-0.507538594
-29.76398724,-0.527639093
-29.82827231,-0.572865216
-29.89255738,-0.603015965
-29.95684245,-0.673367712
-30.02112752,-0.738694334
-30.08541259,-0.819096331
-30.14969766,-0.874372704
-30.21398273,-0.924623952
-30.2782678,-0.934674202
-30.34255287,-0.929649077
-30.40683794,-0.884422954
-30.47112301,-0.834171706
-30.53540808,-0.778895333
-30.59969315,-0.703518461
-30.66397822,-0.643216963
-30.72826329,-0.59799084
-30.79254836,-0.527639093
-30.85683343,-0.497488344
-30.9211185,-0.522613968
-30.98540357,-0.552764717
-31.04968864,-0.582915466
-31.11397371,-0.643216963
-31.17825878,-0.743719459
-31.24254385,-0.793970707
-31.30682892,-0.879397829
-31.37111399,-0.954774701
-31.43539906,-1.015076198
-31.49968412,-1.085427946
-31.56396919,-1.115578694
-31.62825426,-1.135679194
-31.69253933,-1.125628944
-31.7568244,-1.10050332
-31.82110947,-1.060302322
-31.88539454,-1.010051074
-31.94967961,-0.969850075
-32.01396468,-0.919598827
-32.07824975,-0.879397829
-32.14253482,-0.869347579
-32.20681989,-0.879397829
-32.27110496,-0.914573702
-32.33539003,-0.979900325
-32.3996751,-1.065327446
-32.46396017,-1.145729443
-32.52824524,-1.286432938
-32.59253031,-1.381910309
-32.65681538,-1.492463054
-32.72110045,-1.572865051
-32.78538552,-1.608040925
-32.84967059,-1.623116299
-32.91395566,-1.633166549
-32.97824073,-1.582915301
-33.0425258,-1.497488179
-33.10681087,-1.391960558
-33.17109594,-1.286432938
-33.23538101,-1.185930442
-33.29966607,-1.10050332
-33.36395114,-1.040201822
-33.42823621,-1.015076198
-33.49252128,-1.020101323
-33.55680635,-1.050252072
-33.62109142,-1.105528445
-33.68537649,-1.195980691
-33.74966156,-1.271357563
-33.81394663,-1.356784685
-33.8782317,-1.417086182
-33.94251677,-1.452262056
-34.00680184,-1.472362555
-34.07108691,-1.452262056
-34.13537198,-1.391960558
-34.19965705,-1.306533437
-34.26394212,-1.190955566
-34.32822719,-1.070352571
-34.39251226,-0.939699326
-34.45679733,-0.819096331
-34.5210824,-0.71356871
-34.58536747,-0.643216963
-34.64965254,-0.592965715
-34.71393761,-0.572865216
-34.77822268,-0.582915466
-34.84250775,-0.633166714
-34.90679282,-0.663317462
-34.97107789,-0.71356871
-35.03536296,-0.773870208
-35.09964802,-0.83919683
-35.16393309,-0.874372704
-35.22821816,-0.919598827
-35.29250323,-0.909548578
-35.3567883,-0.889448078
-35.42107337,-0.844221955
-35.48535844,-0.809046082
-35.54964351,-0.718593835
-35.61392858,-0.648242088
-35.67821365,-0.572865216
-35.74249872,-0.497488344
-35.80678379,-0.427136597
-35.87106886,-0.386935598
-35.93535393,-0.366835099
-35.999639,-0.381910474
-36.06392407,-0.412061222
-36.12820914,-0.467337595
-36.19249421,-0.552764717
-36.25677928,-0.663317462
-36.32106435,-0.773870208
-36.38534942,-0.894473203
-36.44963449,-0.969850075
-36.51391956,-1.035176698
-36.57820463,-1.085427946
-36.6424897,-1.085427946
-36.70677477,-1.050252072
-36.77105984,-0.994975699
-36.83534491,-0.889448078
-36.89962997,-0.768845083
-36.96391504,-0.688443086
-37.02820011,-0.638191838
-37.09248518,-0.567840091
-37.15677025,-0.547739592
-37.22105532,-0.577890341
-37.28534039,-0.638191838
-37.34962546,-0.738694334
-37.41391053,-0.869347579
-37.4781956,-1.000000824
-37.54248067,-1.130654069
-37.60676574,-1.231156565
-37.67105081,-1.326633936
-37.73533588,-1.402010808
-37.79962095,-1.427136432
-37.86390602,-1.427136432
-37.92819109,-1.381910309
-37.99247616,-1.306533437
-38.05676123,-1.21608119
-38.1210463,-1.135679194
-38.18533137,-1.070352571
-38.24961644,-0.9748752
-38.31390151,-0.924623952
-38.37818658,-0.914573702
-38.44247165,-0.929649077
-38.50675672,-0.979900325
-38.57104179,-1.035176698
-38.63532686,-1.105528445
-38.69961192,-1.206030941
-38.76389699,-1.281407813
-38.82818206,-1.36180981
-38.89246713,-1.407035933
-38.9567522,-1.492463054
-39.02103727,-1.48743793
-39.08532234,-1.48743793
-39.14960741,-1.47738768
-39.21389248,-1.427136432
-39.27817755,-1.356784685
-39.34246262,-1.266332438
-39.40674769,-1.175880192
-39.47103276,-1.105528445
-39.53531783,-1.015076198
-39.5996029,-0.939699326
-39.66388797,-0.909548578
-39.72817304,-0.889448078
-39.79245811,-0.884422954
-39.85674318,-0.939699326
-39.92102825,-1.005025949
-39.98531332,-1.070352571
-40.04959839,-1.160804818
-40.11388346,-1.251257064
-40.17816853,-1.34170931
-40.2424536,-1.386935434
-40.30673867,-1.402010808
-40.37102374,-1.376885184
-40.43530881,-1.326633936
-40.49959387,-1.241206814
-40.56387894,-1.105528445
-40.62816401,-0.959799826
-40.69244908,-0.809046082
-40.75673415,-0.708543586
-40.82101922,-0.60804109
-40.88530429,-0.507538594
-40.94958936,-0.477387845
-41.01387443,-0.47236272
-41.0781595,-0.522613968
-41.14244457,-0.628141589
-41.20672964,-0.748744584
-41.27101471,-0.83919683
-41.33529978,-0.959799826
-41.39958485,-1.040201822
-41.46386992,-1.105528445
-41.52815499,-1.140704318
-41.59244006,-1.095478195
-41.65672513,-1.045226947
-41.7210102,-0.96482495
-41.78529527,-0.884422954
-41.84958034,-0.783920458
-41.91386541,-0.668342587
-41.97815048,-0.572865216
-42.04243555,-0.522613968
-42.10672062,-0.477387845
-42.17100569,-0.507538594
-42.23529076,-0.512563718
-42.29957582,-0.557789842
-42.36386089,-0.59799084
-42.42814596,-0.708543586
-42.49243103,-0.763819958
-42.5567161,-0.824121456
