Time,Amplitude
-6.000000000000000000e+01,3.059522927433278045e-07
-5.987987987987988703e+01,1.361992675419368156e-09
-5.975975975975976695e+01,2.864579950642709724e-07
-5.963963963963963266e+01,2.893944944970527730e-07
-5.951951951951951969e+01,3.821057806163709201e-09
-5.939939939939939961e+01,3.430639913561961225e-07
-5.927927927927928664e+01,4.134202958887556365e-07
-5.915915915915916656e+01,1.010460340804542015e-07
-5.903903903903903228e+01,3.853059038885220651e-07
-5.891891891891891930e+01,6.482240507263980824e-07
-5.879879879879879923e+01,4.091529312457709231e-07
-5.867867867867868625e+01,2.384161299859854997e-07
-5.855855855855856618e+01,8.412380818079157560e-07
-5.843843843843843899e+01,8.923315326621050572e-07
-5.831831831831831181e+01,2.315953873734955033e-07
-5.819819819819819884e+01,7.610747275924590145e-07
-5.807807807807807876e+01,1.365964196453628559e-06
-5.795795795795796579e+01,1.026264407304911087e-06
-5.783783783783783861e+01,1.859258572458610844e-07
-5.771771771771771142e+01,1.506752665789923281e-06
-5.759759759759759845e+01,1.939150858738303390e-06
-5.747747747747747837e+01,9.731815190918702929e-07
-5.735735735735736540e+01,9.337701390679242645e-07
-5.723723723723723822e+01,2.522068561073176181e-06
-5.711711711711711104e+01,2.528595178990400370e-06
-5.699699699699699806e+01,6.319682789217573078e-07
-5.687687687687687799e+01,2.133119389883919418e-06
-5.675675675675676501e+01,3.889343080234031571e-06
-5.663663663663663783e+01,3.138431506090500001e-06
-5.651651651651651065e+01,8.000081789294455570e-08
-5.639639639639639768e+01,3.939282428004842402e-06
-5.627627627627627760e+01,5.809941904527160717e-06
-5.615615615615616463e+01,3.971801526265417410e-06
-5.603603603603603744e+01,1.037260057818123561e-06
-5.591591591591591026e+01,6.423452050396294438e-06
-5.579579579579579018e+01,8.673315268936443567e-06
-5.567567567567567721e+01,5.780423060443907062e-06
-5.555555555555555713e+01,1.246426389502675040e-06
-5.543543543543544416e+01,8.672590513113143676e-06
-5.531531531531531698e+01,1.211715776306748819e-05
-5.519519519519518980e+01,9.236487989542686329e-06
-5.507507507507507682e+01,1.333151739215665552e-06
-5.495495495495495675e+01,7.217219820376375297e-06
-5.483483483483484378e+01,1.149726415597296442e-05
-5.471471471471472370e+01,9.044002984714416345e-06
-5.459459459459458941e+01,1.437083562258190100e-06
-5.447447447447447644e+01,6.589264946516016136e-06
-5.435435435435435636e+01,1.004877228674239207e-05
-5.423423423423424339e+01,6.849827192533020475e-06
-5.411411411411412331e+01,8.195285359907378174e-07
-5.399399399399399613e+01,7.830858041091736638e-06
-5.387387387387388316e+01,9.422465426259129975e-06
-5.375375375375375597e+01,4.394683165390489238e-06
-5.363363363363363590e+01,3.931316723557288121e-06
-5.351351351351352292e+01,9.765880657344183782e-06
-5.339339339339339574e+01,8.726741874639288679e-06
-5.327327327327328277e+01,1.025213921446166494e-06
-5.315315315315315559e+01,8.296175407570772006e-06
-5.303303303303303551e+01,1.251580756424264318e-05
-5.291291291291292254e+01,7.906078104500391255e-06
-5.279279279279280246e+01,3.213589514071802033e-06
-5.267267267267267528e+01,1.341358902365352688e-05
-5.255255255255255520e+01,1.491466003008157241e-05
-5.243243243243243512e+01,5.253662789314272729e-06
-5.231231231231232215e+01,1.011575797666752783e-05
-5.219219219219220207e+01,2.062022111016026380e-05
-5.207207207207207489e+01,1.754371027008172390e-05
-5.195195195195194771e+01,7.616379345520841166e-07
-5.183183183183183473e+01,1.970130441418582788e-05
-5.171171171171171466e+01,2.926150378624115122e-05
-5.159159159159160168e+01,1.864760264123788299e-05
-5.147147147147147450e+01,8.354844603951861053e-06
-5.135135135135134732e+01,3.520764576217905135e-05
-5.123123123123123435e+01,4.212268113149209074e-05
-5.111111111111111427e+01,1.959047931825619489e-05
-5.099099099099100130e+01,2.288790483680447466e-05
-5.087087087087086701e+01,5.973403998076732115e-05
-5.075075075075074693e+01,6.377839437239729938e-05
-5.063063063063063396e+01,2.430940160445782642e-05
-5.051051051051051388e+01,4.282858991598193242e-05
-5.039039039039040091e+01,1.008651202506596401e-04
-5.027027027027027373e+01,1.119096740676815975e-04
-5.015015015015014654e+01,6.004314809996003094e-05
-5.003003003003003357e+01,3.642706758651081901e-05
-4.990990990990991349e+01,1.321516713062277312e-04
-4.978978978978980052e+01,1.785510361697365499e-04
-4.966966966966967334e+01,1.509968361022870982e-04
-4.954954954954954616e+01,6.330998194551596032e-05
-4.942942942942942608e+01,3.946926523992155643e-05
-4.930930930930931311e+01,1.062338423536506287e-04
-4.918918918918919303e+01,1.082045350368627786e-04
-4.906906906906907295e+01,5.380490186450403843e-05
-4.894894894894894577e+01,1.856809755044497176e-05
-4.882882882882882569e+01,6.497974386780235934e-05
-4.870870870870871272e+01,6.227783904761419729e-05
-4.858858858858859264e+01,2.014406678018382241e-05
-4.846846846846846546e+01,2.798927605624057621e-05
-4.834834834834834538e+01,4.850721898781573666e-05
-4.822822822822822530e+01,2.990391052874130732e-05
-4.810810810810811233e+01,1.079638375595415310e-05
-4.798798798798799226e+01,4.136271625391108216e-05
-4.786786786786786507e+01,3.799871835568224848e-05
-4.774774774774775210e+01,2.809065639181387768e-06
-4.762762762762762492e+01,3.734207517764043520e-05
-4.750750750750750484e+01,5.025546183468532126e-05
-4.738738738738739187e+01,2.275400637172836330e-05
-4.726726726726726469e+01,2.763124805650948998e-05
-4.714714714714715171e+01,6.322554690581466772e-05
-4.702702702702702453e+01,5.311144171692483754e-05
-4.690690690690690445e+01,2.081245421825417505e-06
-4.678678678678679148e+01,6.628339902327340957e-05
-4.666666666666666430e+01,9.047688907179165737e-05
-4.654654654654654422e+01,4.823999477617890805e-05
-4.642642642642642414e+01,4.034352056778345617e-05
-4.630630630630630407e+01,1.159148216600516313e-04
-4.618618618618619109e+01,1.176407648861177462e-04
-4.606606606606607102e+01,2.859063152731522673e-05
-4.594594594594594383e+01,1.032931873296787350e-04
-4.582582582582581665e+01,1.879272186797983414e-04
-4.570570570570570368e+01,1.505381723726783064e-04
-4.558558558558558360e+01,1.116976247149059736e-05
-4.546546546546547063e+01,2.103669911566574788e-04
-4.534534534534535055e+01,3.132901446500434392e-04
-4.522522522522523047e+01,2.211351555158692418e-04
-4.510510510510510329e+01,5.691854911001658431e-05
-4.498498498498498321e+01,3.888100282590301656e-04
-4.486486486486487024e+01,5.804394182863616873e-04
-4.474474474474475016e+01,4.834157145914740527e-04
-4.462462462462462298e+01,8.839271435723634527e-05
-4.450450450450450290e+01,4.538821969334930749e-04
-4.438438438438438283e+01,9.019564968760602434e-04
-4.426426426426426985e+01,1.048374277072171333e-03
-4.414414414414414978e+01,8.301473601750893440e-04
-4.402402402402403681e+01,3.617429021876002009e-04
-4.390390390390390962e+01,1.284717009961101550e-04
-4.378378378378378244e+01,4.215327864019967601e-04
-4.366366366366366947e+01,4.202430873380629374e-04
-4.354354354354354939e+01,1.881422232972904639e-04
-4.342342342342342931e+01,1.026367585353222796e-04
-4.330330330330330924e+01,2.788068154427838672e-04
-4.318318318318318916e+01,2.628102108318196533e-04
-4.306306306306306197e+01,1.038280396342005128e-04
-4.294294294294294900e+01,6.945065331407396258e-05
-4.282282282282282893e+01,1.388152454888663819e-04
-4.270270270270270885e+01,7.037555804730131082e-05
-4.258258258258258877e+01,7.249612820974499054e-05
-4.246246246246246159e+01,1.807092765019699008e-04
-4.234234234234234862e+01,1.777295475062987129e-04
-4.222222222222222854e+01,7.134670659866692449e-05
-4.210210210210210846e+01,5.487002476262181839e-05
-4.198198198198198838e+01,1.031464174095734224e-04
-4.186186186186186120e+01,3.302594295978489091e-05
-4.174174174174174823e+01,1.072382365025102219e-04
-4.162162162162162815e+01,2.126953421652012517e-04
-4.150150150150150807e+01,1.968828201731486112e-04
-4.138138138138138800e+01,5.852945135530828011e-05
-4.126126126126126081e+01,1.091811131917186362e-04
-4.114114114114114074e+01,1.785865988798365919e-04
-4.102102102102102776e+01,8.001340002032531656e-05
-4.090090090090090769e+01,1.372064090560249879e-04
-4.078078078078078761e+01,3.238644112083886167e-04
-4.066066066066066043e+01,3.272480667001307513e-04
-4.054054054054054035e+01,1.058219157317363861e-04
-4.042042042042042738e+01,2.184544690403518116e-04
-4.030030030030030730e+01,4.185910421995826455e-04
-4.018018018018018722e+01,3.091520829063619893e-04
-4.006006006006006004e+01,1.076756066447437453e-04
-3.993993993993993996e+01,5.997804555015839954e-04
-3.981981981981982699e+01,8.157464204388067139e-04
-3.969969969969970691e+01,5.017061245162857206e-04
-3.957957957957958683e+01,3.013041952219401901e-04
-3.945945945945945255e+01,1.212660338236051533e-03
-3.933933933933933957e+01,1.674938963380750555e-03
-3.921921921921921950e+01,1.255051351123484971e-03
-3.909909909909910652e+01,8.074376652174364343e-05
-3.897897897897898645e+01,1.885799841988961695e-03
-3.885885885885885216e+01,3.414423775317549075e-03
-3.873873873873873919e+01,3.984606861565199304e-03
-3.861861861861861911e+01,3.329654881534665611e-03
