time,field,writeheader
352.2178965717814,4.699123038914195e-5,true
352.1536115021384,4.342475080567283e-5,true
352.0893264324964,3.945800738658818e-5,true
352.0250413628534,3.514735125996822e-5,true
351.96075629321143,3.055276954522697e-5,true
351.8964712235684,2.573721927543602e-5,true
351.8321861539254,2.0765927527475017e-5,true
351.76790108428344,1.5705665079497066e-5,true
351.70361601464043,1.0624001230780779e-5,true
351.6393309449984,5.588547655122511e-6,true
351.5750458753554,6.661993124680521e-7,true
351.51076080571244,-4.077619482859518e-6,true
351.4464757360704,-8.579695756088768e-6,true
351.3821906664274,-1.277974734041436e-5,true
351.3179055967854,-1.66211133196839e-5,true
351.2536205271424,-2.005140790815858e-5,true
351.1893354575004,-2.3023130577564643e-5,true
351.1250503878574,-2.5494225666307103e-5,true
351.0607653182144,-2.742858520207392e-5,true
350.9964802485724,-2.8796489237583957e-5,true
350.9321951789294,-2.9574978626493476e-5,true
350.86791010928744,-2.9748155856520954e-5,true
350.80362503964443,-2.9307410289851534e-5,true
350.7393399700014,-2.8251564945350085e-5,true
350.6750549003594,-2.6586942767966094e-5,true
350.61076983071644,-2.43273511747816e-5,true
350.5464847610744,-2.1493984525127987e-5,true
350.4821996914314,-1.8115245031437156e-5,true
350.4179146217884,-1.4226483495615129e-5,true
350.3536295521464,-9.869662115030487e-6,true
350.2893444825034,-5.0929424447730304e-6,true
350.2250594128614,4.97975848901433e-8,true
350.1607743432184,5.499512916048844e-6,true
350.0964892735754,1.1192601463153551e-5,true
350.0322042039334,1.7061568969529617e-5,true
349.9679191342904,2.3035741902009478e-5,true
349.90363406464843,2.9042021109250982e-5,true
349.8393489950054,3.5005668485860045e-5,true
349.7750639253624,4.0851118478212815e-5,true
349.71077885572043,4.650280594873948e-5,true
349.64649378607743,5.188600167725781e-5,true
349.5822087164354,5.692764663593835e-5,true
349.5179236467924,6.155717612130048e-5,true
349.45363857714943,6.570732486742372e-5,true
349.3893535075074,6.931490440081235e-5,true
349.3250684378644,7.232154412421323e-5,true
349.2607833682224,7.467438793698875e-5,true
349.1964982985794,7.632673860706519e-5,true
349.1322132289364,7.723864260316305e-5,true
349.0679281592944,7.737740866865579e-5,true
349.0036430896514,7.671805406782824e-5,true
348.9393580200094,7.524367315215842e-5,true
348.8750729503664,7.29457236734561e-5,true
348.8107878807234,6.982422710389073e-5,true
348.7465028110814,6.588788010283225e-5,true
348.6822177414384,6.115407518439043e-5,true
348.6179326717964,5.56488295854706e-5,true
348.55364760215343,4.940662229389546e-5,true
348.4893625325114,4.247014016597177e-5,true
348.4250774628684,3.4889935030571454e-5,true
348.3607923932254,2.6723994630538076e-5,true
348.2965073235834,1.8037231186417558e-5,true
348.2322222539404,8.900892265262428e-6,true
348.1679371842984,-6.081005019382247e-7,true
348.1036521146554,-1.0407878507487567e-5,true
348.0393670450124,-2.0412411962797707e-5,true
347.9750819753704,-3.053234663181002e-5,true
347.9107969057274,-4.0675883127960334e-5,true
347.8465118360854,-5.074968988417936e-5,true
347.7822267664424,-6.06598404761769e-5,true
347.7179416967994,-7.03127656450306e-5,true
347.65365662715743,-7.961621013185436e-5,true
347.5893715575144,-8.848018430230696e-5,true
347.5250864878724,-9.681790051255064e-5,true
347.46080141822944,-0.0001045466842445805,true
347.39651634858643,-0.00011158885022209973,true
347.3322312789444,-0.00011787253400735552,true
347.2679462093014,-0.0001233324699677695,true
347.2036611396594,-0.0001279107069929438,true
347.1393760700164,-0.0001315572539269823,true
347.0750910003734,-0.0001342306473557585,true
347.0108059307314,-0.0001358984351469644,true
346.9465208610884,-0.0001365375699760705,true
346.8822357914464,-0.00013613470797261016,true
346.8179507218034,-0.00013468640858386609,true
346.7536656521604,-0.00013219923276460577,true
346.6893805825184,-0.0001286897376518482,true
346.6250955128754,-0.00012418436696295886,true
346.56081044323344,-0.00011871923745374035,true
346.49652537359043,-0.00011233982287541268,true
346.4322403039474,-0.00010510053796816693,true
346.3679552343054,-9.706422610913706e-5,true
346.30367016466244,-8.830155528662544e-5,true
346.2393850950204,-7.889032808398042e-5,true
346.1751000253774,-6.891471231842843e-5,true
346.1108149557344,-5.8464399881324886e-5,true
346.0465298860924,-4.763370215322311e-5,true
345.9822448164494,-3.6520591117368896e-5,true
345.9179597468074,-2.5225695949916372e-5,true
345.8536746771644,-1.3851265428820626e-5,true
345.7893896075214,-2.500106956927084e-6,true
345.7251045378794,8.725486657522197e-6,true
345.6608194682364,1.9724811289847822e-5,true
345.59653439859443,3.039981497107647e-5,true
345.5322493289514,4.065613926521792e-5,true
345.4679642593084,5.04041272043537e-5,true
345.40367918966643,5.955978668548596e-5,true
345.3393941200234,6.804569860588572e-5,true
345.2751090503814,7.579185950361308e-5,true
345.2108239807384,8.273644907332028e-5,true
345.1465389110964,8.882651363970808e-5,true
345.0822538414534,9.401855748486697e-5,true
345.0179687718104,9.827903483480896e-5,true
344.9536837021684,0.0001015847363044145,true
344.8893986325254,0.00010392306467161348,true
344.8251135628834,0.00010529219598714122,true
344.7608284932404,0.00010570112321851185,true
344.6965434235974,0.00010516958085877094,true
344.6322583539554,0.00010372785019620637,true
344.5679732843124,0.00010141644621868054,true
344.50368821467043,9.828568841290917e-5,true
344.4394031450274,9.439515899019284e-5,true
344.3751180753844,8.981305332229397e-5,true
344.3108330057424,8.461542858357803e-5,true
344.24654793609943,7.888535775789479e-5,true
344.1822628664574,7.271199726963005e-5,true
344.1179777968144,6.618957752186816e-5,true
344.05369272717144,5.941632656270599e-5,true
343.9894076575294,5.249333793891538e-5,true
343.9251225878864,4.552339452869774e-5,true
343.8608375182444,3.8609760759459276e-5,true
343.7965524486014,3.185495610545104e-5,true
343.7322673789584,2.5359523119175265e-5,true
343.6679823093164,1.9220803471944236e-5,true
343.6036972396734,1.353173555966123e-5,true
343.5394121700314,8.379687168394412e-6,true
343.4751271003884,3.845336486483575e-6,true
343.4108420307454,1.6144014921337657e-9,true
343.34655696110343,-3.087279473106719e-6,true
343.2822718914604,-5.366775225320453e-6,true
343.2179868218184,-6.792734475652652e-6,true
343.15370175217544,-7.332145449765904e-6,true
343.08941668253243,-6.963702142434159e-6,true
343.0251316128904,-5.6782595403205966e-6,true
342.9608465432474,-3.479158092477519e-6,true
342.8965614736054,-3.8241192366967884e-7,true
342.8322764039624,3.5832433320138082e-6,true
342.7679913343194,8.37644575332206e-6,true
342.7037062646774,1.394344659579474e-5,true
342.6394211950344,2.0218493657807813e-5,true
342.5751361253924,2.712435666729789e-5,true
342.5108510557494,3.457299126720273e-5,true
342.4465659861064,4.24663366480786e-5,true
342.3822809164644,5.069724038236245e-5,true
342.3179958468214,5.915050256666064e-5,true
342.25371077717944,6.770402999060252e-5,true
342.18942570753643,7.623008974720734e-5,true
342.1251406378944,8.459665048393958e-5,true
342.0608555682514,9.266879838732507e-5,true
341.99657049860843,0.00010031021400671421,true
341.9322854289664,0.00010738469516772398,true
341.8680003593234,0.00011375771051329196,true
341.8037152896814,0.00011929796764702871,true
341.7394302200384,0.00012387897945355633,true
341.6751451503954,0.00012738061193237656,true
341.6108600807534,0.00012969059681684883,true
341.5465750111104,0.00013070599235523163,true
341.4822899414684,0.00013033457591369883,true
