time,field
-60.0,4.248849835229624e-7
-59.87987987987989,1.4729094668317218e-7
-59.75975975975977,-9.585312578055881e-9
-59.63963963963963,-6.736175245791876e-8
-59.51951951951952,-6.603169385212083e-8
-59.3993993993994,-4.073271324756621e-8
-59.27927927927929,-1.46943032228894e-8
-59.15915915915917,5.311964082437497e-10
-59.03903903903903,3.0289299273217125e-9
-58.91891891891892,-2.779855929925902e-9
-58.7987987987988,-1.0728769561238891e-8
-58.678678678678686,-1.6913279305420318e-8
-58.558558558558566,-2.0896465696389848e-8
-58.43843843843844,-2.4125415956574116e-8
-58.31831831831831,-2.7954155381436796e-8
-58.1981981981982,-3.339578835728324e-8
-58.07807807807808,-4.193468865775917e-8
-57.957957957957966,-5.472992312235166e-8
-57.83783783783784,-6.909916653281804e-8
-57.71771771771771,-7.477259145934479e-8
-57.5975975975976,-5.391868012583972e-8
-57.47747747747748,1.3012746897645868e-8
-57.357357357357365,1.3579897047214268e-7
-57.23723723723724,2.973919846406312e-7
-57.11711711711711,4.3228126705415663e-7
-56.996996996997,4.090092654182889e-7
-56.87687687687688,3.9131998679456077e-8
-56.756756756756765,-8.584430132619212e-7
-56.63663663663664,-2.3255151228450547e-6
-56.51651651651651,-4.097357238303747e-6
-56.3963963963964,-5.48669210698236e-6
-56.27627627627628,-5.432132858486759e-6
-56.156156156156165,-2.7870078430100695e-6
-56.03603603603604,3.185899306171642e-6
-55.91591591591591,1.2292164014879517e-5
-55.79579579579579,2.3129001187928616e-5
-55.67567567567568,3.3286446869993835e-5
-55.55555555555556,4.006003561344044e-5
-55.435435435435444,4.143246487182483e-5
-55.31531531531532,3.6888148356803815e-5
-55.19519519519519,2.7654271433569614e-5
-55.07507507507508,1.622910083576929e-5
-54.95495495495496,5.420065924726792e-6
-54.834834834834844,-2.6458865087491127e-6
-54.714714714714724,-7.0987403904252974e-6
-54.59459459459459,-8.30515317204724e-6
-54.474474474474476,-7.387803791837302e-6
-54.354354354354356,-5.608516536880271e-6
-54.23423423423424,-3.91530392830235e-6
-54.11411411411412,-2.780621599555658e-6
-53.993993993993996,-2.2770022183312138e-6
-53.87387387387388,-2.252566116809842e-6
-53.753753753753756,-2.4917381563102742e-6
-53.633633633633636,-2.8134799599182626e-6
-53.51351351351352,-3.10897556530882e-6
-53.393393393393396,-3.3376332916089356e-6
-53.27327327327328,-3.5017833773439354e-6
-53.153153153153156,-3.619336905251411e-6
-53.033033033033036,-3.7074522211433644e-6
-52.91291291291292,-3.7783091810568847e-6
-52.7927927927928,-3.840026182947007e-6
-52.672672672672675,-3.897336633607282e-6
-52.552552552552555,-3.950490962085956e-6
-52.432432432432435,-3.989945450511784e-6
-52.31231231231232,-3.984918075938856e-6
-52.1921921921922,-3.87363917895387e-6
-52.072072072072075,-3.5743266836256754e-6
-51.95195195195195,-3.033259232415681e-6
-51.831831831831835,-2.3095370592735475e-6
-51.711711711711715,-1.678784546075666e-6
-51.5915915915916,-1.7220120768058292e-6
-51.471471471471475,-3.3348197365116535e-6
