time,current
-300.0,8.661800178538332e-31
-299.9879997599952,8.664880869441421e-31
-299.9759995199904,8.66024339796358e-31
-299.9639992799856,8.654945020496236e-31
-299.9519990399808,8.632565087661855e-31
-299.939998799976,8.608085530377967e-31
-299.92799855997123,8.611218030493444e-31
-299.91599831996643,8.629952164144964e-31
-299.9039980799616,8.679002044270638e-31
-299.89199783995684,8.74473627368893e-31
-299.879997599952,8.747323504798679e-31
-299.86799735994725,8.589553021168617e-31
-299.8559971199424,8.372178237505202e-31
-299.8439968799376,8.399664097864496e-31
-299.83199663993275,8.807918285563451e-31
-299.819996399928,9.4515705353743e-31
-299.8079961599232,1.0545303952221039e-30
-299.7959959199184,1.24235539841137e-30
-299.78399567991363,1.2980529435627234e-30
-299.77199543990884,6.7973577303099945e-31
-299.759995199904,-8.177734464802696e-31
-299.7479949598992,-2.1425918586590134e-30
-299.7359947198944,-1.2430510596672293e-30
-299.7239944798896,3.1259383660061732e-30
-299.7119942398848,9.3665264268178e-30
-299.69999399988,1.2325157275374777e-29
-299.6879937598752,5.636042922612778e-30
-299.6759935198704,-1.1487811289570757e-29
-299.6639932798656,-2.744769580972715e-29
-299.65199303986077,-2.3899861052509216e-29
-299.63999279985603,1.0079811959885863e-30
-299.6279925598512,1.4133993467824434e-29
-299.6159923198464,-2.7737367563976215e-29
-299.6039920798416,-1.0185154592827888e-28
-299.5919918398368,-5.260893833753427e-29
-299.579991599832,3.513854712872316e-28
-299.5679913598272,1.1306084507574715e-27
-299.5559911198224,1.63287996924054e-27
-299.5439908798176,3.8841199720283574e-28
-299.53199063981276,-3.7904017014565426e-27
-299.519990399808,-9.256016256017053e-27
-299.50799015980317,-9.93474962750032e-27
-299.49598991979843,9.591278308486965e-28
-299.4839896797936,2.1600000637601167e-26
-299.4719894397888,3.607007975377561e-26
-299.459989199784,2.5361364240952413e-26
-299.4479889597792,-8.903376474949723e-27
-299.4359887197744,-3.6893569905937655e-26
-299.4239884797696,-3.4173679239736246e-26
-299.4119882397648,-2.903161572774171e-26
-299.39998799976,-8.5754411258029e-26
-299.3879877597552,-1.9203365877287965e-25
-299.37598751975037,-1.6850954369436892e-25
-299.3639872797456,2.0071098541360143e-25
-299.3519870397408,8.171729942607691e-25
-299.33998679973604,1.0840718713747057e-24
-299.3279865597312,3.419646055187439e-25
-299.31598631972645,-1.2603942765297484e-24
-299.3039860797216,-2.4554706393114135e-24
-299.2919858397168,-1.8693588467326596e-24
-299.279985599712,4.17654015142972e-25
-299.2679853597072,2.6250314229980965e-24
-299.25598511970236,2.9565129783801553e-24
-299.24398487969756,1.366521696712574e-24
-299.2319846396928,-6.9980866995156035e-25
-299.21998439968803,-2.0055268630035913e-24
-299.20798415968324,-2.256255126844759e-24
-299.1959839196784,-1.3780412463073926e-24
-299.1839836796736,6.537912003510297e-25
-299.1719834396688,2.7305537730023674e-24
-299.15998319966394,2.6063291368748517e-24
-299.1479829596592,-5.941251312313739e-25
-299.1359827196544,-4.267692603692882e-24
-299.1239824796496,-4.401503524147817e-24
-299.1119822396448,-3.5755898521631506e-25
-299.09998199963997,3.7344765907285624e-24
-299.0879817596352,3.769440489341789e-24
-299.0759815196304,9.56136741146295e-25
-299.06398127962564,-1.0209877851907029e-25
-299.0519810396208,1.5060551868852206e-24
-299.03998079961605,1.6404076361943105e-24
-299.0279805596112,-1.502250621457149e-24
-299.0159803196064,-3.400449694931178e-24
-299.0039800796016,-7.627590440358036e-25
-298.9919798395968,1.7576437862738386e-24
-298.979979599592,-9.18888115198155e-25
-298.9679793595872,-4.368257351527369e-24
-298.95597911958237,-1.4373149666648416e-24
-298.9439788795776,4.2201201879744284e-24
-298.9319786395728,2.969915604552884e-24
-298.919978399568,-3.736289793451228e-24
-298.9079781595632,-4.600794841920177e-24
-298.8959779195584,2.2416937081404305e-24
-298.88397767955354,5.930010073751799e-24
-298.8719774395488,1.9662332823173304e-24
-298.859977199544,-1.1219164492111457e-24
-298.8479769595392,8.974498763534372e-25
-298.8359767195344,6.397845103556775e-25
-298.82397647952956,-4.507173250101977e-24
-298.8119762395248,-5.8284771085972e-24
-298.79997599952,-1.6039886389472865e-26
-298.7879757595152,4.6213182128571314e-24
-298.7759755195104,4.072262762359644e-24
-298.76397527950564,3.2866741128806048e-24
-298.7519750395008,2.536422160372347e-24
-298.739974799496,-2.3054788620395928e-24
-298.7279745594912,-6.589938166521379e-24
-298.7159743194864,-3.118519604434331e-24
-298.70397407948155,2.5615002794360923e-24
-298.6919738394768,1.74352176103678e-24
-298.67997359947196,-7.758086577169254e-25
-298.6679733594672,1.9910557355899176e-24
-298.6559731194624,3.4249496569722845e-24
-298.6439728794576,-2.363117068741202e-24
-298.6319726394528,-5.701502284512755e-24
-298.619972399448,-2.3823801928879997e-25
-298.6079721594432,2.2103128581258153e-24
-298.5959719194384,-4.105473260587652e-24
-298.58397167943355,-4.068039185853009e-24
-298.5719714394288,7.188607994338166e-24
-298.559971199424,9.628015733930368e-24
-298.5479709594192,-3.072074423718714e-24
-298.53597071941437,-8.966167445299002e-24
-298.52397047940957,-4.777147025863487e-25
-298.51197023940483,3.678351066754006e-24
-298.4999699994,-1.4054894353886227e-24
-298.48796975939524,-2.6943767993645236e-24
-298.4759695193904,-3.137393817921117e-25
-298.4639692793856,-1.6968971211025242e-25
-298.4519690393808,2.995515630741261e-24
-298.43996879937595,7.192009075931774e-24
-298.42796855937115,2.6334706904578312e-24
-298.41596831936636,-4.207054881199796e-24
-298.4039680793616,-3.285401982726827e-24
-298.3919678393568,-3.650902484170246e-25
-298.379967599352,1.5492061004539964e-24
-298.3679673593472,5.755970631041163e-24
-298.3559671193424,5.023080624641555e-24
-298.3439668793376,-2.4226536634605518e-24
-298.33196663933273,-3.805143758725251e-24
-298.319966399328,9.867728480868993e-25
-298.30796615932314,1.8415644190248794e-24
-298.2959659193184,6.508716350757687e-25
-298.2839656793136,-1.8146599489855003e-24
-298.2719654393088,-7.935382417848694e-24
-298.259965199304,-6.4633654200140096e-24
-298.24796495929917,3.534963953890745e-24
-298.23596471929443,2.4453401861833362e-24
-298.2239644792896,-7.918074863531428e-24
-298.2119642392848,-7.527234121329151e-24
-298.19996399928,8.244944834248541e-25
-298.1879637592752,6.611283426754919e-24
-298.1759635192704,1.1511991859823654e-23
-298.1639632792656,1.10702536554546e-23
-298.1519630392608,2.1575810006531096e-24
-298.139962799256,-6.176246062004021e-24
-298.12796255925116,-1.1150561320582881e-23
-298.1159623192464,-1.0328352246362903e-23
-298.10396207924157,4.884843793605343e-25
-298.0919618392368,4.787565642188285e-24
-298.079961599232,-4.3047441575719384e-24
-298.0679613592272,-2.612741748193349e-24
-298.0559611192224,7.92162881532895e-24
-298.0439608792176,4.154220033642544e-24
-298.0319606392128,8.128762577917611e-25
-298.019960399208,8.038928277617594e-24
-298.0079601592032,3.2655450326458266e-24
-297.9959599191984,-3.469420067507063e-24
-297.98395967919356,6.162230329334271e-24
-297.97195943918877,4.15860592966349e-24
-297.95995919918397,-1.2915656931621072e-23
-297.9479589591792,-1.096247132192624e-23
-297.93595871917444,-2.8613332759118893e-24
-297.92395847916964,-1.1360465564464548e-23
-297.9119582391648,-1.0175274869968982e-23
-297.89995799916,8.15031477273019e-24
-297.8879577591552,1.6061609484420212e-23
-297.87595751915035,1.2875561010374242e-23
-297.8639572791456,1.0843107492430446e-23
-297.85195703914076,7.302710941349014e-24
-297.83995679913596,2.451733586177122e-24
-297.82795655913117,-1.9735444914197937e-24
-297.81595631912637,-2.76387808362338e-24
-297.8039560791216,6.042003330279206e-24
-297.7919558391168,1.2071987495974214e-23
-297.779955599112,2.938534562506911e-24
-297.7679553591072,-9.575240723903125e-24
-297.75595511910234,-1.747485246395113e-23
-297.7439548790976,-2.0482258836606975e-23
-297.7319546390928,-1.3872972482921413e-23
-297.719954399088,-5.866228527047295e-24
-297.70795415908316,-2.086628109588687e-24
-297.69595391907836,3.521100090436982e-24
-297.6839536790736,1.009196746443208e-24
-297.6719534390688,-6.5774103514085676e-24
-297.65995319906403,1.2373110336043388e-24
-297.6479529590592,3.796012701685254e-24
-297.6359527190544,-1.0560766439345623e-23
-297.6239524790496,-2.914383473468273e-24
-297.6119522390448,1.521660569156654e-23
-297.59995199903994,3.2462830591783547e-24
-297.5879517590352,-4.262088625744469e-24
-297.5759515190304,1.3202415867137974e-23
-297.5639512790256,1.338748154602325e-23
-297.5519510390208,2.527016210809195e-24
-297.539950799016,7.687513117739323e-24
-297.5279505590112,7.09919675647524e-24
-297.5159503190064,-1.2878107103361915e-24
-297.5039500790016,-2.1876163414289983e-26
-297.4919498389968,6.805991726017905e-25
-297.47994959899194,3.898074026586864e-25
-297.4679493589872,-3.4174429101779327e-25
-297.4559491189824,-9.285243114313216e-24
-297.4439488789776,-3.519143019659715e-24
-297.4319486389728,1.1856064991706662e-23
-297.41994839896796,-1.8480376476776504e-24
-297.4079481589632,-1.4557292697625375e-23
-297.39594791895837,1.776745607669141e-24
-297.3839476789536,-4.701865610224873e-25
-297.3719474389488,-1.558310149202814e-23
-297.359947198944,1.7102252835552673e-24
-297.3479469589392,1.4808215842025403e-23
-297.3359467189344,-1.0855035900959343e-24
-297.32394647892954,-5.212960591075858e-24
-297.3119462389248,2.3019879243462436e-24
-297.29994599891995,9.611669107333488e-25
-297.2879457589152,1.61419044498905e-24
-297.27594551891036,8.091154308460913e-25
-297.2639452789056,-3.0103458009826342e-24
-297.2519450389008,2.2996413441712803e-24
-297.239944798896,1.9466809173780005e-24
-297.2279445588912,-6.523680405848065e-24
