time,field
-300.0,-2.8403272077145614e-8
-299.49964260185845,-3.118313220920493e-8
-298.99928520371697,-5.066266669264539e-8
-298.4989278055754,-7.66546226511188e-8
-297.9985704074339,-2.2729607738433877e-8
-297.49821300929233,-1.3757653349193827e-7
-296.99785561115084,-1.8956395529676947e-7
-296.4974982130093,-9.292202923891345e-8
-295.99714081486775,6.891342799796848e-9
-295.49678341672626,1.2062912276823586e-7
-294.99642601858477,2.174671917750229e-7
-294.49606862044317,2.7653291769329763e-7
-293.9957112223016,2.935381065714041e-7
-293.4953538241601,2.4514178798525777e-7
-292.9949964260186,1.2744456327827856e-7
-292.4946390278771,2.7698902955237985e-7
-291.9942816297355,-2.7843245165972403e-7
-291.493924231594,-6.885968737173733e-7
-290.9935668334525,-2.0380999430984415e-7
-290.4932094353109,2.3590112294367364e-7
-289.9928520371694,6.576346195241351e-7
-289.4924946390279,1.0053903441616605e-6
-288.9921372408864,1.1463655329481804e-6
-288.49177984274485,1.0614564080403926e-6
-287.9914224446033,7.787016933744164e-7
-287.49106504646176,3.1313836384147805e-7
-286.9907076483202,5.33104075092511e-7
-286.49035025017866,-1.0561668180047013e-6
-285.9899928520372,-3.2062862735292844e-6
-285.48963545389563,-3.4563753429845266e-7
-284.98927805575414,1.6821066639486029e-6
-284.4889206576126,3.5000436400969106e-6
-283.98856325947105,4.667351407020102e-6
-283.4882058613295,4.830023081545863e-6
-282.98784846318796,3.897347474243442e-6
-282.48749106504647,2.2781715726816047e-6
-281.9871336669049,3.64029059464527e-7
-281.48677626876344,4.793228633720639e-7
-280.9864188706219,-3.7653739560612294e-6
-280.48606147248034,-9.010855136212756e-6
-279.98570407433886,-1.400323322325682e-6
-279.4853466761973,4.403515030478034e-6
-278.98498927805576,9.29878250379258e-6
-278.4846318799142,1.1780118963033432e-5
-277.9842744817727,1.1869338232191721e-5
-277.4839170836312,1.0368288386495939e-5
-276.98355968548964,9.165428267071523e-6
-276.4832022873481,9.71820796174111e-6
-275.9828448892066,1.6009286682723915e-5
-275.48248749106506,1.3253623611671323e-5
-274.9821300929235,4.638331947125719e-6
-274.48177269478197,2.1747902030932926e-5
-273.9814152966404,2.609209976909985e-5
-273.481057898499,1.977485251972736e-5
-272.98070050035744,2.216351066901565e-6
-272.48034310221584,-2.17119379165131e-5
-271.9799857040743,-4.1784260182295723e-5
-271.4796283059328,-4.648870786435699e-5
-270.9792709077913,-2.7715140057222366e-5
-270.4789135096498,1.9937219485843504e-5
-269.9785561115082,6.159159255652563e-5
-269.47819871336674,8.678685938290805e-5
-268.9778413152252,0.0001429594482046496
-268.4774839170836,0.00014758906230960474
-267.9771265189421,9.675603512996433e-5
-267.47676912080055,-3.122632976863971e-6
-266.97641172265907,-0.00012274977276538314
-266.4760543245175,-0.00021659072533474237
-265.975696926376,-0.00023763525755127556
-265.4753395282345,-0.00015556908721827689
-264.9749821300929,3.29745397537061e-5
-264.4746247319514,0.000250186098899922
-263.9742673338099,0.0004189079107475803
-263.4739099356683,0.0005770951703182481
-262.9735525375268,0.0005601967913455487
-262.47319513938527,0.0003344169795083736
-261.9728377412438,-6.325517603015678e-5
-261.47248034310223,-0.0005234960399253283
-260.97212294496063,-0.0008891012978000241
-260.47176554681914,-0.001000604158821886
-259.97140814867765,-0.0007576873493622303
-259.4710507505361,-0.00016265471388931748
-258.97069335239456,0.0006143161401106665
