time,current
-300.0,2.3597669627746332e-30
-299.9879997599952,2.3606062470418514e-30
-299.9759995199904,2.3593428431582873e-30
-299.9639992799856,2.357899386157891e-30
-299.9519990399808,2.3518023364634703e-30
-299.939998799976,2.345133278144047e-30
-299.92799855997123,2.3459866769908247e-30
-299.91599831996643,2.351090487833356e-30
-299.9039980799616,2.3644533320762205e-30
-299.89199783995684,2.382361556660883e-30
-299.879997599952,2.3830664058114064e-30
-299.86799735994725,2.340084396610402e-30
-299.8559971199424,2.2808641626571675e-30
-299.8439968799376,2.2883522394867394e-30
-299.83199663993275,2.3995744709731464e-30
-299.819996399928,2.574927086285442e-30
-299.8079961599232,2.8728970151637926e-30
-299.7959959199184,3.3845957708188364e-30
-299.78399567991363,3.5363346983474e-30
-299.77199543990884,1.8518298593275854e-30
-299.759995199904,-2.227891110695345e-30
-299.7479949598992,-5.837143986882682e-30
-299.7359947198944,-3.3864909870729896e-30
-299.7239944798896,8.516112045678548e-30
-299.7119942398848,2.55175819833909e-29
-299.69999399988,3.357789183534223e-29
-299.6879937598752,1.535448476693645e-29
-299.6759935198704,-3.129667851595841e-29
-299.6639932798656,-7.477679517078373e-29
-299.65199303986077,-6.511129483955902e-29
-299.63999279985603,2.746081272211148e-30
-299.6279925598512,3.850577264537271e-29
-299.6159923198464,-7.55659588799854e-29
-299.6039920798416,-2.774780163880828e-28
-299.5919918398368,-1.43324519241577e-28
-299.579991599832,9.572927212025898e-28
-299.5679913598272,3.0801593374802483e-27
-299.5559911198224,4.448516620295104e-27
-299.5439908798176,1.0581654852943443e-27
-299.53199063981276,-1.0326334626032988e-26
-299.519990399808,-2.521651494798142e-26
-299.50799015980317,-2.706561392688344e-26
-299.49598991979843,2.6129882029862102e-27
-299.4839896797936,5.884569818040243e-26
-299.4719894397888,9.82670816610425e-26
-299.459989199784,6.90929232181763e-26
-299.4479889597792,-2.4255805063234122e-26
-299.4359887197744,-1.0051054700910847e-25
-299.4239884797696,-9.310064605992236e-26
-299.4119882397648,-7.9091928072917e-26
-299.39998799976,-2.336239839615349e-25
-299.3879877597552,-5.231645551415247e-25
-299.37598751975037,-4.5907691926149025e-25
-299.3639872797456,5.468045240970714e-25
-299.3519870397408,2.2262552760176842e-24
-299.33998679973604,2.9533779752640154e-24
-299.3279865597312,9.316271004967525e-25
-299.31598631972645,-3.43373976831573e-24
-299.3039860797216,-6.689531475301211e-24
-299.2919858397168,-5.0927649647473324e-24
-299.279985599712,1.1378306200673346e-24
-299.2679853597072,7.151472327408851e-24
-299.25598511970236,8.05454005817672e-24
-299.24398487969756,3.722866710556268e-24
-299.2319846396928,-1.906515211129725e-24
-299.21998439968803,-5.463732638394274e-24
-299.20798415968324,-6.146801124679849e-24
-299.1959839196784,-3.754249854936868e-24
-299.1839836796736,1.7811480793147043e-24
-299.1719834396688,7.438950854091327e-24
-299.15998319966394,7.100520982408602e-24
-299.1479829596592,-1.6185975519358207e-24
-299.1359827196544,-1.1626636271781957e-23
-299.1239824796496,-1.1991182420203157e-23
-299.1119822396448,-9.741114585479467e-25
-299.09998199963997,1.0173975733002426e-23
-299.0879817596352,1.0269229203570501e-23
-299.0759815196304,2.604839464251841e-24
-299.06398127962564,-2.781515614801484e-25
-299.0519810396208,4.1030030719628575e-24
-299.03998079961605,4.469024527910302e-24
-299.0279805596112,-4.092638150561043e-24
-299.0159803196064,-9.263973635131538e-24
-299.0039800796016,-2.078013294664791e-24
-298.9919798395968,4.788415402899575e-24
-298.979979599592,-2.503361624646444e-24
-298.9679793595872,-1.1900608615484338e-23
-298.95597911958237,-3.915731491752754e-24
-298.9439788795776,1.1497032941483554e-23
-298.9319786395728,8.091053339255619e-24
-298.919978399568,-1.0178915509715774e-23
-298.9079781595632,-1.2534119290084165e-23
-298.8959779195584,6.107130901306718e-24
-298.88397767955354,1.6155350588244162e-23
-298.8719774395488,5.356683651299994e-24
-298.859977199544,-3.0564793891246783e-24
-298.8479769595392,2.4449566202327155e-24
-298.8359767195344,1.742989124331243e-24
-298.82397647952956,-1.2279062448756477e-23
-298.8119762395248,-1.5878740493499628e-23
-298.79997599952,-4.369806877133914e-26
-298.7879757595152,1.2590031885276319e-23
-298.7759755195104,1.1094219368121307e-23
-298.76397527950564,8.95401051642715e-24
-298.7519750395008,6.910070763957697e-24
-298.739974799496,-6.280903207044829e-24
-298.7279745594912,-1.7953217635538846e-23
-298.7159743194864,-8.495900833111774e-24
-298.70397407948155,6.97839203163342e-24
-298.6919738394768,4.749942235757656e-24
-298.67997359947196,-2.113564850469533e-24
-298.6679733594672,5.424308398997133e-24
-298.6559731194624,9.330719807777132e-24
-298.6439728794576,-6.437929152188469e-24
-298.6319726394528,-1.5532818180813405e-23
-298.619972399448,-6.490408409415008e-25
-298.6079721594432,6.0216388654690004e-24
-298.5959719194384,-1.1184695983744371e-23
-298.58397167943355,-1.1082712919000256e-23
-298.5719714394288,1.958419647616413e-23
-298.559971199424,2.622996718660993e-23
-298.5479709594192,-8.36936847173917e-24
-298.53597071941437,-2.4426868877148838e-23
-298.52397047940957,-1.3014562210614343e-24
-298.51197023940483,1.0021070846588938e-23
-298.4999699994,-3.829027993945852e-24
-298.48796975939524,-7.340392557381509e-24
-298.4759695193904,-8.54732056632708e-25
-298.4639692793856,-4.622920966852459e-25
-298.4519690393808,8.160796458238182e-24
-298.43996879937595,1.9593462171304713e-23
-298.42796855937115,7.174463742739402e-24
-298.41596831936636,-1.1461438632390989e-23
-298.4039680793616,-8.95054480416485e-24
-298.3919678393568,-9.946291635546137e-25
-298.379967599352,4.220560736829613e-24
-298.3679673593472,1.5681208356071854e-23
-298.3559671193424,1.3684568409638308e-23
-298.3439668793376,-6.6001269475646866e-24
-298.33196663933273,-1.0366496969874888e-23
-298.319966399328,2.6883025683830054e-24
-298.30796615932314,5.0170435547608045e-24
-298.2959659193184,1.7731941972806957e-24
-298.2839656793136,-4.943746690089193e-24
-298.2719654393088,-2.161866226494037e-23
-298.259965199304,-1.76083907179937e-23
-298.24796495929917,9.630435915225909e-24
-298.23596471929443,6.661932698930445e-24
-298.2239644792896,-2.157151064051765e-23
-298.2119642392848,-2.0506728433418886e-23
-298.19996399928,2.2462014856872727e-24
-298.1879637592752,1.801136933480771e-23
-298.1759635192704,3.1362554557482915e-23
-298.1639632792656,3.0159110470365464e-23
-298.1519630392608,5.8779794729813405e-24
-298.139962799256,-1.6826180598342375e-23
-298.12796255925116,-3.0377895677967966e-23
-298.1159623192464,-2.813792041896213e-23
-298.10396207924157,1.3307964585728624e-24
-298.0919618392368,1.3042946040874016e-23
-298.079961599232,-1.172757722050056e-23
-298.0679613592272,-7.117991101809415e-24
-298.0559611192224,2.1581192805732988e-23
-298.0439608792176,1.131749866012315e-23
-298.0319606392128,2.2145495144458156e-24
-298.019960399208,2.1900756164566648e-23
-298.0079601592032,8.896447764500149e-24
-297.9959599191984,-9.451872228103115e-24
-297.98395967919356,1.6787997008059253e-23
-297.97195943918877,1.1329447322432442e-23
-297.95995919918397,-3.51866123687394e-23
-297.9479589591792,-2.986547498514477e-23
-297.93595871917444,-7.795238397111116e-24
-297.92395847916964,-3.094974574359916e-23
-297.9119582391648,-2.7720885936386994e-23
-297.89995799916,2.220421060342247e-23
-297.8879577591552,4.375724982000034e-23
-297.87595751915035,3.507737753492885e-23
-297.8639572791456,2.954028759269909e-23
-297.85195703914076,1.9895051447603638e-23
-297.83995679913596,6.679350480193191e-24
-297.82795655913117,-5.3766018546091375e-24
-297.81595631912637,-7.529737533118566e-24
-297.8039560791216,1.646045805015691e-23
-297.7919558391168,3.288817183593305e-23
-297.779955599112,8.005560780259616e-24
-297.7679553591072,-2.6086190231986853e-23
-297.75595511910234,-4.760740108732386e-23
-297.7439548790976,-5.580059194320981e-23
-297.7319546390928,-3.779466331005093e-23
-297.719954399088,-1.5981588109722805e-23
-297.70795415908316,-5.684679829955604e-24
-297.69595391907836,9.592666067988301e-24
-297.6839536790736,2.7493928422604193e-24
-297.6719534390688,-1.7919087635296852e-23
-297.65995319906403,3.370853217106608e-24
-297.6479529590592,1.0341620886042357e-23
-297.6359527190544,-2.877109518976722e-23
-297.6239524790496,-7.939765055521453e-24
-297.6119522390448,4.145517404741903e-23
-297.59995199903994,8.843971642112791e-24
-297.5879517590352,-1.1611369142836234e-23
-297.5759515190304,3.596784057576945e-23
-297.5639512790256,3.647202199992535e-23
-297.5519510390208,6.884445780033862e-24
-297.539950799016,2.0943382561613312e-23
-297.5279505590112,1.9340610061261033e-23
-297.5159503190064,-3.508431395229316e-24
-297.5039500790016,-5.959805887142029e-26
-297.4919498389968,1.8541820514133303e-24
-297.47994959899194,1.0619670411216775e-24
-297.4679493589872,-9.310268893742984e-25
-297.4559491189824,-2.5296138782763324e-23
-297.4439488789776,-9.587334346095835e-24
-297.4319486389728,3.2299925996052554e-23
-297.41994839896796,-5.034678816256612e-24
-297.4079481589632,-3.9658982737112294e-23
-297.39594791895837,4.840455216943244e-24
-297.3839476789536,-1.2809470204480251e-24
-297.3719474389488,-4.2453632409536164e-23
-297.359947198944,4.659231383604401e-24
-297.3479469589392,4.034258214387052e-23
-297.3359467189344,-2.9572784606927975e-24
-297.32394647892954,-1.4201865579335932e-23
-297.3119462389248,6.271392713535315e-24
-297.29994599891995,2.6185433453897295e-24
-297.2879457589152,4.397600042944454e-24
-297.27594551891036,2.204303751444848e-24
-297.2639452789056,-8.201198851582034e-24
-297.2519450389008,6.264999836467912e-24
-297.239944798896,5.303416404449548e-24
-297.2279445588912,-1.7772709113705573e-23
-297.2159443188864,-5.857023937985611e-24
-297.2039440788816,8.776275717093477e-24
-297.1919438388768,-5.3312786929801995e-24
-297.179943598872,-1.0022650813969071e-23
-297.1679433588672,-1.5818801855180665e-23
-297.15594311886235,-2.199876814919788e-23
-297.14394287885756,4.2781697853358904e-24
-297.13194263885276,1.306840746630288e-23
-297.11994239884797,-1.1876117914539351e-23
-297.10794215884323,1.8213011559862886e-24
-297.0959419188384,3.017965327674678e-23
-297.0839416788336,5.786331331981382e-24
-297.0719414388288,-2.6534391678340276e-23
-297.059941198824,-1.115229143947859e-23
-297.04794095881914,2.7862177587029646e-23
-297.0359407188144,3.321657584745352e-23
-297.02394047880955,-1.2106602146671632e-23
-297.01194023880475,-2.7626656973355713e-23
-296.99993999879996,2.9634822252691785e-23
-296.9879397587952,4.9348375167890766e-23
-296.97593951879037,-4.767686619960176e-24
-296.9639392787856,-1.6589032863528845e-23
-296.9519390387808,1.4528775637663918e-23
-296.939938798776,3.439181678095706e-24
-296.92793855877113,-1.0313398511176989e-23
-296.9159383187664,8.52197894121271e-24
-296.90393807876154,8.7684127980032e-24
-296.8919378387568,-7.70401245440458e-24
-296.879937598752,-2.3315053222118964e-23
-296.86793735874716,-3.8808516331874437e-23
-296.8559371187424,-6.3535370091449035e-24
-296.84393687873757,3.448163642091111e-23
-296.8319366387328,-1.6017157117484366e-23
-296.819936398728,-5.362249133876552e-23
-296.8079361587232,2.0260735197441503e-23
-296.7959359187184,3.787843050672798e-23
-296.7839356787136,-4.782791060898607e-23
-296.77193543870874,-3.9409765617954264e-23
-296.759935198704,4.5401883100102424e-23
-296.7479349586992,3.203619583398412e-23
