time,current
-300.0,3.074538552532236e-22
-299.9879997599952,3.065856774886542e-22
-299.9759995199904,3.1783584259706217e-22
-299.9639992799856,3.218701587312029e-22
-299.9519990399808,3.2401532881571154e-22
-299.939998799976,3.3170703670051982e-22
-299.92799855997123,3.5148521441928285e-22
-299.91599831996643,3.696460338534454e-22
-299.9039980799616,3.989572124902891e-22
-299.89199783995684,4.318515683609893e-22
-299.879997599952,3.3909112693983317e-22
-299.86799735994725,-2.0669527366138453e-22
-299.8559971199424,-1.3307901238979126e-21
-299.8439968799376,-1.899708194250487e-21
-299.83199663993275,3.7536849159289863e-22
-299.819996399928,6.169839694462718e-21
-299.8079961599232,1.1870670715852031e-20
-299.7959959199184,1.1365734458848561e-20
-299.78399567991363,2.9562447037095823e-21
-299.77199543990884,-7.052854481111434e-21
-299.759995199904,-1.1339946610656558e-20
-299.7479949598992,-1.2893558562880167e-20
-299.7359947198944,-2.6490870786373065e-20
-299.7239944798896,-5.805192335953909e-20
-299.7119942398848,-6.824315406345412e-20
-299.69999399988,1.992555877383182e-20
-299.6879937598752,2.1159720452364484e-19
-299.6759935198704,3.3898818946790917e-19
-299.6639932798656,1.9012565883003885e-19
-299.65199303986077,-1.9855610174220372e-19
-299.63999279985603,-4.989450205924621e-19
-299.6279925598512,-4.412016863038516e-19
-299.6159923198464,-1.1519976986298926e-19
-299.6039920798416,1.703044379690777e-19
-299.5919918398368,2.4533119564075026e-19
-299.579991599832,1.8929846667321647e-19
-299.5679913598272,1.1756994636177562e-19
-299.5559911198224,-8.171523022019058e-21
-299.5439908798176,-2.187255419787759e-19
-299.53199063981276,-2.593845663326822e-19
-299.519990399808,1.6558213197587873e-19
-299.50799015980317,7.707693503722517e-19
-299.49598991979843,8.147350398606498e-19
-299.4839896797936,1.0350646573760184e-19
-299.4719894397888,-6.413765193379155e-19
-299.459989199784,-7.078293486595465e-19
-299.4479889597792,-2.7594192459326786e-19
-299.4359887197744,-9.244082792280762e-20
-299.4239884797696,-3.7517377694895983e-19
-299.4119882397648,-4.06726639139119e-19
-299.39998799976,2.5057856886117617e-19
-299.3879877597552,6.604663917738655e-19
-299.37598751975037,3.987628044953879e-20
-299.3639872797456,-4.531961026536839e-19
-299.3519870397408,2.7560910420195613e-19
-299.33998679973604,8.648258360084881e-19
-299.3279865597312,-1.014981889177238e-20
-299.31598631972645,-8.965799629287466e-19
-299.3039860797216,-3.2933732511503675e-19
-299.2919858397168,4.644627754990469e-19
-299.279985599712,1.5137740230487616e-19
-299.2679853597072,-4.455867976871172e-19
-299.25598511970236,-2.731492426785987e-19
-299.24398487969756,2.686310025138259e-19
-299.2319846396928,3.310322227120791e-19
-299.21998439968803,6.721040086857575e-20
-299.20798415968324,3.4762221675813196e-19
-299.1959839196784,8.118376466136197e-19
-299.1839836796736,2.026328854149886e-19
-299.1719834396688,-6.058767358751455e-19
-299.15998319966394,-1.0696409769001987e-19
-299.1479829596592,1.445360325400288e-19
-299.1359827196544,-7.524794610790555e-19
-299.1239824796496,-3.4288689243228336e-19
-299.1119822396448,1.0112218039814508e-18
-299.09998199963997,4.395344187007177e-19
-299.0879817596352,-3.4244269499755077e-19
-299.0759815196304,5.320017905497813e-19
-299.06398127962564,2.273972918701874e-19
-299.0519810396208,-1.0282540924585713e-18
-299.03998079961605,-1.7024950179535042e-19
-299.0279805596112,6.326865529053114e-19
-299.0159803196064,-4.295217892955282e-19
-299.0039800796016,-4.373664805627588e-19
-298.9919798395968,2.4738270885134297e-19
-298.979979599592,-3.969679792451423e-19
-298.9679793595872,-3.290259524893973e-19
-298.95597911958237,3.2898201604064836e-19
-298.9439788795776,-6.689829202250669e-19
-298.9319786395728,-1.1683595150698616e-18
-298.919978399568,4.60403626102176e-20
-298.9079781595632,5.884128652319207e-19
-298.8959779195584,6.4328790141483e-19
-298.88397767955354,7.248073601426777e-19
-298.8719774395488,-1.8726796875477019e-19
-298.859977199544,-3.6230778640969526e-19
-298.8479769595392,5.7471148869884e-19
-298.8359767195344,-5.858163429182787e-20
-298.82397647952956,-9.779267366960833e-19
-298.8119762395248,-2.9596331797599777e-19
-298.79997599952,-8.258079297657571e-20
-298.7879757595152,1.597917963316352e-20
-298.7759755195104,1.0822377374814675e-18
-298.76397527950564,4.194364660054249e-19
-298.7519750395008,-1.1789263211048482e-18
-298.739974799496,-4.218861093100245e-19
-298.7279745594912,4.859558755908347e-19
-298.7159743194864,-5.3302518856227935e-20
-298.70397407948155,2.8413603244107465e-19
-298.6919738394768,3.9583893146322378e-19
-298.67997359947196,-9.767071822982684e-19
-298.6679733594672,-8.132788153268099e-19
-298.6559731194624,1.0857116101165257e-18
-298.6439728794576,1.7647472385738066e-18
-298.6319726394528,1.1134089118567778e-18
-298.619972399448,4.461573247899593e-19
-298.6079721594432,4.357819108007614e-19
-298.5959719194384,8.80426902386147e-19
-298.58397167943355,4.626960639810274e-19
-298.5719714394288,-2.174058288564592e-19
-298.559971199424,-8.565757427424628e-20
-298.5479709594192,-7.241217876078377e-19
-298.53597071941437,-1.3666093826679456e-18
-298.52397047940957,4.1027817737081764e-20
-298.51197023940483,9.779435144773671e-19
-298.4999699994,4.63138156367177e-19
-298.48796975939524,4.0031164968328406e-19
-298.4759695193904,-7.165834558279562e-19
-298.4639692793856,-2.0207812893628476e-18
-298.4519690393808,-6.028172823996365e-19
-298.43996879937595,-1.0267657054879654e-19
-298.42796855937115,-1.7394053868424408e-18
-298.41596831936636,-1.401225395421588e-18
-298.4039680793616,-1.1614877157432489e-18
-298.3919678393568,-2.1238157055903183e-18
-298.379967599352,-5.050064643195642e-19
-298.3679673593472,2.21678917281539e-19
-298.3559671193424,-1.7053780703732113e-18
-298.3439668793376,8.964350880468254e-20
-298.33196663933273,3.2075544696254228e-18
-298.319966399328,2.06942883315268e-18
-298.30796615932314,1.484774553894566e-18
-298.2959659193184,3.0170713136082326e-18
-298.2839656793136,2.197923500233649e-18
-298.2719654393088,2.8468984898371916e-19
-298.259965199304,-5.383035225317033e-19
-298.24796495929917,-5.0559965864634195e-19
-298.23596471929443,5.404771023135571e-19
-298.2239644792896,3.3796644623259904e-19
-298.2119642392848,-9.512862891952507e-19
-298.19996399928,1.0429114427871103e-19
-298.1879637592752,5.501253515033602e-19
-298.1759635192704,-2.058383201371876e-18
-298.1639632792656,-2.2888722366761515e-18
-298.1519630392608,1.6070288263819782e-19
-298.139962799256,2.2395735781645243e-19
-298.12796255925116,9.024714882581795e-20
-298.1159623192464,1.965603183438509e-18
-298.10396207924157,1.1000019701257995e-18
-298.0919618392368,-2.131107676043305e-18
-298.079961599232,-2.0424107119484793e-18
-298.0679613592272,-2.5066805172683932e-19
-298.0559611192224,-4.63459314928156e-19
-298.0439608792176,-2.376517959144697e-19
-298.0319606392128,9.216019001288294e-19
-298.019960399208,5.664735288837807e-19
-298.0079601592032,1.7572852159004605e-19
-297.9959599191984,6.036363248615704e-19
-297.98395967919356,3.7705189783003013e-19
-297.97195943918877,3.0390067494164497e-19
-297.95995919918397,6.256630517180936e-19
-297.9479589591792,5.289365041389202e-19
-297.93595871917444,6.407972661101818e-20
-297.92395847916964,-1.1670682290944892e-18
-297.9119582391648,-1.1278693114369058e-18
-297.89995799916,9.133532076405067e-19
-297.8879577591552,4.507820934979442e-19
-297.87595751915035,-1.2655300237006458e-18
-297.8639572791456,-2.550295820792892e-19
-297.85195703914076,-2.341379680252256e-19
-297.83995679913596,-1.171395805156054e-18
-297.82795655913117,1.7824137696241492e-19
-297.81595631912637,1.518004577848859e-19
-297.8039560791216,-7.073668158362034e-19
-297.7919558391168,3.099080919157662e-19
-297.779955599112,-2.1018780775748013e-19
-297.7679553591072,-1.2756025256383251e-19
-297.75595511910234,1.866069502482329e-18
-297.7439548790976,4.405215307438152e-19
-297.7319546390928,-5.274149876944645e-19
-297.719954399088,1.3236144039843019e-18
-297.70795415908316,-4.4112787522228504e-20
-297.69595391907836,-4.077626831650792e-19
-297.6839536790736,2.327078320383974e-18
-297.6719534390688,7.899486047289749e-19
-297.65995319906403,-1.3522370280208854e-18
-297.6479529590592,-1.1338424714229116e-19
-297.6359527190544,2.5172331865060745e-20
-297.6239524790496,1.7335789013495924e-19
-297.6119522390448,3.193313751934567e-19
