time,field,writeheader
-450.0,1.3779236181733236e-10,true
-449.49832775919737,-1.8017155664048478e-11,true
-448.9966555183947,-3.9877228610382414e-11,true
-448.49498327759204,1.7158390035024936e-10,true
-447.9933110367893,-8.755596488078916e-11,true
-447.4916387959866,-2.414547341928285e-10,true
-446.98996655518397,-2.608428302474359e-11,true
-446.4882943143813,1.6246072046995184e-10,true
-445.98662207357864,2.499609908973745e-11,true
-445.48494983277595,-1.1120040242920992e-10,true
-444.9832775919733,9.766879235552138e-11,true
-444.4816053511706,-1.5303122109613878e-11,true
-443.9799331103679,-1.2660420297375548e-10,true
-443.4782608695653,1.639323392954424e-10,true
-442.97658862876256,1.733168546876902e-11,true
-442.4749163879599,-1.7072920470051028e-10,true
-441.97324414715723,-2.715533020486774e-11,true
-441.4715719063546,1.384371322197671e-10,true
-440.96989966555185,4.6282090747524844e-11,true
-440.4682274247493,-9.657632423179475e-11,true
-439.9665551839466,1.0336247916506138e-10,true
-439.46488294314383,5.203147201043129e-11,true
-438.9632107023412,-3.942031988334145e-10,true
-438.4615384615385,2.0022798613548965e-10,true
-437.9598662207359,2.3114697613131367e-10,true
-437.4581939799331,-1.3928111739770492e-10,true
-436.9565217391305,1.4129468609633833e-10,true
-436.45484949832786,1.8206731014930456e-10,true
-435.9531772575251,-1.5202443674682207e-10,true
-435.45150501672236,-1.7219011305419962e-10,true
-434.9498327759198,2.4241225037185944e-10,true
-434.44816053511704,5.6726942848095564e-11,true
-433.9464882943144,-6.9524457184527e-10,true
-433.44481605351166,4.643739258864285e-10,true
-432.943143812709,1.1179697570853908e-9,true
-432.4414715719064,-2.4471928599784687e-10,true
-431.93979933110364,-6.768546917625384e-10,true
-431.43812709030107,-1.9153108303288156e-10,true
-430.9364548494983,8.163521606906284e-11,true
-430.4347826086956,1.514396449864743e-10,true
-429.933110367893,1.0084123410304913e-10,true
-429.4314381270903,-1.782222507726588e-10,true
-428.92976588628767,-2.6103990292857876e-10,true
-428.4280936454849,6.844098585711342e-10,true
-427.92642140468234,6.617272213904648e-10,true
-427.4247491638796,-1.5802080148946515e-9,true
-426.9230769230769,-1.5062757701450416e-9,true
