time,field,writeheader
-450.0,8.230737418360161e-10,true
-449.49832775919737,8.473864653537332e-10,true
-448.9966555183947,-1.3089431993558025e-10,true
-448.49498327759204,-3.6958218973344856e-10,true
-447.9933110367893,-1.6788233555438196e-10,true
-447.4916387959866,1.0445565598358194e-12,true
-446.98996655518397,1.0097380078412921e-11,true
-446.4882943143813,-6.904786695530109e-11,true
-445.98662207357864,-8.508047097370421e-10,true
-445.48494983277595,-5.236911096238415e-10,true
-444.9832775919733,1.983987876149701e-9,true
-444.4816053511706,2.059450391722455e-10,true
-443.9799331103679,-9.372819403157574e-10,true
-443.4782608695653,-3.1170304291793045e-10,true
-442.97658862876256,3.7406507830274394e-11,true
-442.4749163879599,2.7285692188019004e-12,true
-441.97324414715723,-7.222505982480171e-11,true
-441.4715719063546,-7.429073738063088e-11,true
-440.96989966555185,-3.1728740298782197e-10,true
-440.4682274247493,-8.703968411093472e-11,true
-439.9665551839466,1.4492987912083572e-9,true
-439.46488294314383,-1.2037175177031107e-9,true
-438.9632107023412,-9.131868327480062e-10,true
-438.4615384615385,2.4955527554539095e-10,true
-437.9598662207359,1.9610545029609975e-10,true
-437.4581939799331,3.221385647032133e-11,true
-436.9565217391305,-4.797929506092028e-11,true
-436.45484949832786,-1.323640645822723e-10,true
-435.9531772575251,-2.0416393632021774e-10,true
-435.45150501672236,3.0402622179067556e-11,true
-434.9498327759198,3.761073202947306e-11,true
-434.44816053511704,-1.4867354304778574e-9,true
-433.9464882943144,2.0827955612472473e-9,true
-433.44481605351166,-5.875931963468745e-10,true
-432.943143812709,-4.731238587271741e-10,true
-432.4414715719064,6.6456563181862226e-12,true
-431.93979933110364,1.3026155971183353e-10,true
-431.43812709030107,1.854221811216251e-10,true
-430.9364548494983,1.327222939152929e-10,true
-430.4347826086956,-7.031673534048626e-11,true
-429.933110367893,1.355278657010058e-10,true
-429.4314381270903,1.3446991739040283e-10,true
-428.92976588628767,-2.2788641842287373e-9,true
-428.4280936454849,1.949771952939694e-10,true
-427.92642140468234,3.2536262870039884e-10,true
-427.4247491638796,2.2235997767505008e-10,true
-426.9230769230769,-1.677373698523278e-9,true
-426.42140468227433,-1.6020216648943524e-9,true
-425.9197324414716,3.337425167429279e-10,true
-425.41806020066895,2.9538218146426492e-9,true
-424.91638795986626,4.779147575641135e-9,true
-424.4147157190636,5.826382485630379e-9,true
-423.9130434782609,3.881136944449974e-9,true
-423.4113712374582,-9.913588342947194e-9,true
-422.9096989966556,-3.4803452795537377e-9,true
-422.40802675585286,6.744045511072297e-9,true
-421.9063545150502,-1.0033534906630648e-8,true
-421.40468227424753,-2.1247311591869637e-8,true
-420.9030100334449,-1.9745928933990234e-8,true
-420.40133779264215,7.840167007236935e-10,true
-419.89966555183946,3.499119509747941e-8,true
-419.3979933110369,6.611775858332934e-8,true
-418.89632107023414,7.824918490225948e-8,true
-418.39464882943145,6.205081109698548e-8,true
-417.8929765886288,-2.4666995588385984e-8,true
-417.3913043478261,-2.2522494187541515e-8,true
-416.8896321070235,-1.2858762434531971e-8,true
-416.38795986622074,-1.1691539781225663e-7,true
-415.88628762541816,-1.604063505133816e-7,true
-415.3846153846154,-1.0100572337002035e-7,true
-414.88294314381267,6.074423823751546e-8,true
-414.3812709030101,2.7120571901060336e-7,true
-413.87959866220734,4.2112402194425584e-7,true
-413.37792642140465,4.1148701342990205e-7,true
-412.87625418060196,2.195656382202931e-7,true
-412.3745819397993,-2.1770348179674735e-7,true
-411.8729096989967,-3.55596652085246e-7,true
-411.37123745819395,-2.6055042185554354e-7,true
-410.86956521739137,-6.591246203968798e-7,true
-410.3678929765886,-7.013772546442571e-7,true
-409.86622073578593,-3.052018400673315e-7,true
-409.3645484949833,4.892465088777354e-7,true
-408.8628762541806,1.4165162439978966e-6,true
-408.36120401337797,2.025399277441202e-6,true
-407.8595317725753,1.8882559648451575e-6,true
-407.35785953177265,9.016836168054996e-7,true
-406.8561872909699,-9.633519126294482e-7,true
-406.3545150501672,-1.988599904719581e-6,true
-405.8528428093646,-2.204449847684401e-6,true
-405.3511705685619,-3.1237408346124497e-6,true
-404.84949832775925,-2.6774639141429114e-6,true
-404.34782608695656,-6.94661763693758e-7,true
-403.84615384615387,2.4952676952991427e-6,true
-403.3444816053512,5.755392978862792e-6,true
-402.8428093645485,7.62989329889723e-6,true
-402.34113712374585,6.890756630310607e-6,true
-401.83946488294316,3.356456572805214e-6,true
-401.33779264214047,-2.4980837729133326e-6,true
-400.83612040133784,-6.362190374345749e-6,true
-400.33444816053515,-7.825569198743659e-6,true
-399.83277591973246,-1.0188351624072274e-5,true
-399.33110367892976,-8.306492456640797e-6,true
-398.8294314381271,-2.0244342344015456e-6,true
-398.32775919732444,7.42732718592804e-6,true
-397.82608695652175,1.670375533827999e-5,true
-397.3244147157191,2.1599035369720656e-5,true
-396.8227424749164,1.8756458376728933e-5,true
-396.3210702341137,7.703374320807414e-6,true
-395.81939799331104,-9.328115780553359e-6,true
-395.31772575250835,-2.208199450183229e-5,true
-394.8160535117057,-2.738294284773423e-5,true
-394.314381270903,-3.0445024362343686e-5,true
-393.8127090301004,-2.149404155953662e-5,true
-393.3110367892977,-1.0340778931775027e-6,true
-392.80936454849495,2.6135929967197887e-5,true
-392.3076923076923,5.069023715341931e-5,true
-391.80602006688974,6.190246890937486e-5,true
-391.30434782608705,5.224415155168242e-5,true
-390.8026755852843,2.1427469519287893e-5,true
-390.30100334448167,-2.3240813459911143e-5,true
-389.799331103679,-6.036257889153307e-5,true
-389.29765886287623,-7.73217719992798e-5,true
-388.79598662207366,-8.188072396865692e-5,true
-388.2943143812709,-5.720681481528278e-5,true
-387.79264214046833,-5.411998561978657e-6,true
-387.2909698996656,6.103003722521583e-5,true
-386.7892976588629,0.00012031718068724942,true
-386.28762541806026,0.00014807470881919287,true
-385.7859531772575,0.0001270318832419453,true
-385.28428093645493,5.577305291904643e-5,true
-384.7826086956522,-4.880675960629938e-5,true
-384.2809364548495,-0.00014517657457796096,true
-383.77926421404686,-0.00019627163968334948,true
-383.27759197324417,-0.00020275133473941236,true
-382.77591973244154,-0.00014038490010420898,true
-382.27424749163885,-1.5180744018617998e-5,true
-381.7725752508362,0.00014079362029488404,true
-381.27090301003346,0.0002770870527175327,true
-380.7692307692308,0.00034063951437437166,true
-380.26755852842814,0.0002953496382443804,true
-379.7658862876254,0.00013948599658807924,true
-379.2642140468227,-8.882671796515302e-5,true
-378.76254180602007,-0.0003123363051749778,true
-378.2608695652174,-0.0004450422151134957,true
-377.75919732441474,-0.0004587778428089818,true
-377.25752508361205,-0.0003259960358361019,true
-376.7558528428094,-6.059410319579152e-5,true
-376.25418060200667,0.00026777326514274615,true
-375.752508361204,0.0005568328293449811,true
-375.25083612040135,0.0007015411108102063,true
-374.74916387959877,0.0006303754221594827,true
-374.247491638796,0.00033576310311218973,true
-373.74581939799333,-0.00011312690394836119,true
-373.2441471571907,-0.0005815629912069964,true
-372.74247491638795,-0.0009010542791851511,true
-372.24080267558526,-0.0009671524261353711,true
-371.7391304347826,-0.0007329877438084824,true
-371.23745819397993,-0.00022030871587690632,true
-370.7357859531773,0.00043776133058237836,true
-370.2341137123746,0.0010406019011752767,true
-369.7324414715719,0.001378369496206257,true
-369.2307692307692,0.0013023019256186241,true
-368.72909698996654,0.0007841081256839024,true
-368.2274247491639,-5.790259803096928e-5,true
-367.7257525083612,-0.0009821068094945584,true
-367.2240802675585,-0.0016793115651260874,true
-366.7224080267559,-0.001902510098109927,true
-366.2207357859532,-0.0015434092468531225,true
-365.71906354515045,-0.0006385558564892739,true
-365.21739130434787,0.0005773059597003439,true
-364.7157190635451,0.0017426529916765529,true
-364.21404682274255,0.0024728853104659847,true
-363.7123745819398,0.002484210600276601,true
-363.21070234113716,0.0016971248388905587,true
-362.7090301003345,0.0002832252404854022,true
-362.2073578595317,-0.0013665298428714335,true
-361.7056856187291,-0.002740137174840022,true
-361.2040133779264,-0.0033705524059137676,true
-360.70234113712377,-0.003001032796256842,true
-360.2006688963211,-0.0016437056688352139,true
-359.69899665551833,0.00036609376137057244,true
-359.19732441471575,0.0024527451051279394,true
-358.695652173913,0.00396183404948153,true
-358.19397993311037,0.004362057673525899,true
-357.6923076923077,0.0034261000294491233,true
-357.19063545150505,0.001330786747501366,true
-356.68896321070235,-0.0013638756218607106,true
-356.1872909698996,-0.0038593343961303293,true
-355.68561872909703,-0.005351406559181883,true
-355.18394648829434,-0.005300456298709266,true
-354.68227424749165,-0.0035990739018421578,true
-354.18060200668896,-0.0006491678682851383,true
-353.6789297658863,0.002725065286069267,true
-353.17725752508363,0.005507950208641773,true
-352.6755852842809,0.0067975606601770105,true
-352.1739130434783,0.006094498488264372,true
-351.67224080267556,0.0034824314050005967,true
-351.17056856187287,-0.00036227376244544335,true
-350.66889632107024,-0.004345000043627637,true
-350.16722408026754,-0.0072620301996256425,true
-349.6655518394649,-0.008170547285990723,true
-349.1638795986622,-0.0066810601525936755,true
-348.6622073578596,-0.0031028140358066525,true
-348.16053511705684,0.001610044320954499,true
-347.65886287625415,0.006114694110331016,true
-347.1571906354515,0.009061373348191308,true
-346.6555183946488,0.009494201210042342,true
-346.1538461538462,0.007153017913577955,true
-345.6521739130435,0.0025832599495103346,true
-345.15050167224086,-0.002987106528445249,true
-344.6488294314381,-0.00797571040097427,true
-344.14715719063554,-0.010895742865080271,true
-343.6454849498328,-0.010794673090509731,true
-343.1438127090301,-0.007552481138030713,true
-342.64214046822747,-0.0019567089955853153,true
-342.1404682274248,0.00448722805025266,true
-341.63879598662214,0.009959123804113772,true
-341.1371237458194,0.01283465968964541,true
-340.63545150501676,0.012161594884331137,true
-340.13377926421407,0.007963810784421505,true
-339.6321070234114,0.0012786160093599922,true
-339.13043478260875,-0.006095053747319543,true
-338.62876254180605,-0.012077892181585009,true
-338.12709030100336,-0.014893743548750964,true
-337.6254180602007,-0.013588199777079686,true
-337.123745819398,-0.008339943841719405,true
-336.62207357859535,-0.0004611589722308278,true
-336.12040133779266,0.007923001755519413,true
-335.61872909698997,0.014441643072844602,true
-335.11705685618733,0.017143772200890507,true
-334.6153846153846,0.015078199992574442,true
-334.1137123745819,0.008616367674086835,true
-333.6120401337793,-0.0005901181201746856,true
-333.11036789297657,-0.010024735848546486,true
-332.60869565217394,-0.01699357576973721,true
-332.10702341137124,-0.01939498933765891,true
-331.6053511705686,-0.016353230338362574,true
-331.10367892976586,-0.008523083053107594,true
-330.6020066889632,0.0020362278618892967,true
-330.10033444816054,0.012400131877880659,true
-329.59866220735785,0.019591524041017418,true
-329.0969899665552,0.021441529941738237,true
-328.5953177257525,0.017247339497075045,true
-328.0936454849499,0.008024605672808202,true
-327.59197324414714,-0.0037347990530611453,true
-327.0903010033445,-0.014743140607782415,true
-326.5886287625418,-0.021845130801960107,true
-326.0869565217391,-0.02292800742926855,true
-325.5852842809365,-0.017549985639396054,true
-325.0836120401338,-0.007102003838058301,true
-324.58193979933117,0.005551949202705267,true
-324.0802675585284,0.01686457626509622,true
-323.5785953177258,0.02360878502563124,true
-323.0769230769231,0.023809907168343327,true
-322.5752508361204,0.017332450693264813,true
-322.07357859531777,0.00594152023497263,true
-321.5719063545151,-0.007186937724655643,true
-321.0702341137124,-0.018367665094321778,true
-320.5685618729097,-0.02445653050791029,true
-320.06688963210706,-0.023746021583481304,true
-319.5652173913043,-0.016448843079982334,true
-319.0635451505017,-0.004632278705475788,true
-318.561872909699,0.008378085516581937,true
-318.06020066889636,0.01895395843138846,true
-317.55852842809367,0.024200710113043457,true
-317.056856187291,0.02276893261447083,true
-316.55518394648834,0.015202845607862595,true
-316.0535117056856,0.003731780471331096,true
-315.55183946488296,-0.008415148621381085,true
-315.05016722408027,-0.017948846472546902,true
-314.54849498327764,-0.022428817781947892,true
-314.04682274247494,-0.020884801536561887,true
-313.54515050167225,-0.013997061743213643,true
-313.04347826086956,-0.0038158780224496485,true
-312.5418060200669,0.00687142513450156,true
-312.04013377926424,0.015327611099849666,true
-311.53846153846155,0.01957813560100244,true
-311.0367892976589,0.018857076032415217,true
-310.53511705685617,0.013686927045858872,true
-310.03344481605353,0.005611592338686234,true
-309.53177257525084,-0.0032961832330120665,true
-309.03010033444815,-0.010983517502290246,true
-308.52842809364546,-0.015870527765030472,true
-308.0267558528428,-0.017119037522402753,true
-307.5250836120402,-0.014698829628618949,true
-307.02341137123744,-0.009285659852645978,true
-306.5217391304348,-0.002051617198281946,true
-306.0200668896321,0.005585330744065259,true
-305.5183946488294,0.012196844066183923,true
-305.01672240802674,0.01653559265800716,true
-304.5150501672241,0.017687029612500488,true
-304.0133779264214,0.01520646503527894,true
-303.5117056856187,0.009253873304685545,true
-303.0100334448161,0.0006961106001481629,true
-302.50836120401334,-0.00889674853549152,true
-302.0066889632107,-0.01743820027239066,true
-301.505016722408,-0.0227224090918337,true
-301.0033444816054,-0.022974779959672887,true
-300.5016722408027,-0.017420584861104316,true
-300.0,-0.006695682493873761,true
-300.0,-0.006695682493873761,true
-299.49964260185845,-0.00026452694701019206,true
-298.99928520371697,0.006047994505482801,true
-298.4989278055754,0.010511942262785458,true
-297.9985704074339,0.011669431742920393,true
-297.49821300929233,0.008802157144380022,true
-296.99785561115084,0.002248971799826983,true
-296.4974982130093,-0.006553168398065819,true
-295.99714081486775,-0.015357867582730868,true
-295.49678341672626,-0.021678021893470845,true
-294.99642601858477,-0.02348918651974074,true
-294.49606862044317,-0.019866926516830235,true
-293.9957112223016,-0.011361310781284235,true
-293.4953538241601,2.639426650576612e-5,true
-292.9949964260186,0.011294908711300292,true
-292.4946390278771,0.019229183941584953,true
-291.9942816297355,0.021319590306134006,true
-291.493924231594,0.0165504530384457,true
-290.9935668334525,0.005808415915509942,true
-290.4932094353109,-0.008242752501885315,true
-289.9928520371694,-0.0218192099190661,true
-289.4924946390279,-0.031040854617010696,true
-288.9921372408864,-0.033040181339319935,true
-288.49177984274485,-0.02684051981048831,true
