Time,Amplitude
-6.000000000000000000e+01,7.877905021529462229e-05
-5.987987987987988703e+01,3.357926906635623249e-04
-5.975975975975976695e+01,5.774368901201566110e-05
-5.963963963963963266e+01,3.093790219366260525e-04
-5.951951951951951969e+01,1.816658017678657929e-04
-5.939939939939939961e+01,2.303635639225358142e-04
-5.927927927927928664e+01,2.695164939518614276e-04
-5.915915915915916656e+01,1.161227445493748960e-04
-5.903903903903903228e+01,3.066074290420941432e-04
-5.891891891891891930e+01,9.750863590957718505e-06
-5.879879879879879923e+01,2.898120787717302642e-04
-5.867867867867868625e+01,1.232540143938283018e-04
-5.855855855855856618e+01,2.270069663709200548e-04
-5.843843843843843899e+01,2.053147529184908254e-04
-5.831831831831831181e+01,1.341544767959220699e-04
-5.819819819819819884e+01,2.450577724376234892e-04
-5.807807807807807876e+01,3.089536140099058344e-05
-5.795795795795796579e+01,2.408435574273038848e-04
-5.783783783783783861e+01,6.387334621700637468e-05
-5.771771771771771142e+01,1.992319976548029986e-04
-5.759759759759759845e+01,1.354097527481533511e-04
-5.747747747747747837e+01,1.324285761153874111e-04
-5.735735735735736540e+01,1.751606762123224346e-04
-5.723723723723723822e+01,5.525504991168607026e-05
-5.711711711711711104e+01,1.809458999537544592e-04
-5.699699699699699806e+01,1.770040307959156169e-05
-5.687687687687687799e+01,1.532263052813899701e-04
-5.675675675675676501e+01,8.433803155896367183e-05
-5.663663663663663783e+01,1.152422237512288543e-04
-5.651651651651651065e+01,1.197847748642049353e-04
-5.639639639639639768e+01,6.131293918242227434e-05
-5.627627627627627760e+01,1.322459043026802828e-04
-5.615615615615616463e+01,6.351320662511488744e-06
-5.603603603603603744e+01,1.228827493810093067e-04
-5.591591591591591026e+01,4.049994697193110710e-05
-5.579579579579579018e+01,9.651033735963371405e-05
-5.567567567567567721e+01,7.317653607293387859e-05
-5.555555555555555713e+01,6.025914322571692446e-05
-5.543543543543544416e+01,8.949579014156911307e-05
-5.531531531531531698e+01,2.056270911369558599e-05
-5.519519519519518980e+01,8.861723990635908326e-05
-5.507507507507507682e+01,1.440812024594307020e-05
-5.495495495495495675e+01,7.519376342312386748e-05
-5.483483483483484378e+01,4.153802676049955876e-05
-5.471471471471472370e+01,5.254129463318420076e-05
-5.459459459459458941e+01,5.746466065373103944e-05
-5.447447447447447644e+01,2.604332062652783136e-05
-5.435435435435435636e+01,6.197206398150700477e-05
-5.423423423423424339e+01,3.074436232274561584e-07
-5.411411411411412331e+01,5.638624614612703219e-05
-5.399399399399399613e+01,2.096951723323834139e-05
-5.387387387387388316e+01,4.333550555706179455e-05
-5.375375375375375597e+01,3.538561075291346797e-05
-5.363363363363363590e+01,2.606293592452041559e-05
-5.351351351351352292e+01,4.200259663714885457e-05
-5.339339339339339574e+01,7.864970344861534231e-06
-5.327327327327328277e+01,4.120578579410059467e-05
-5.315315315315315559e+01,8.404850954898967453e-06
-5.303303303303303551e+01,3.440873735285678454e-05
-5.291291291291292254e+01,2.065769231931035223e-05
-5.279279279279280246e+01,2.361169945247469055e-05
-5.267267267267267528e+01,2.779544153424078350e-05
-5.255255255255255520e+01,1.106628690627585573e-05
-5.243243243243243512e+01,2.965003126021695836e-05
-5.231231231231232215e+01,1.090282326002585158e-06
-5.219219219219220207e+01,2.678663879329731864e-05
-5.207207207207207489e+01,1.118867513461433852e-05
-5.195195195195194771e+01,2.038356234331281631e-05
-5.183183183183183473e+01,1.807707894910885377e-05
-5.171171171171171466e+01,1.188523768510121573e-05
-5.159159159159160168e+01,2.123559771341626003e-05
-5.147147147147147450e+01,2.820188663087779054e-06
-5.135135135135134732e+01,2.070644793647816355e-05
-5.123123123123123435e+01,5.409872649203335198e-06
-5.111111111111111427e+01,1.704087438741560108e-05
-5.099099099099100130e+01,1.161884993978714648e-05
-5.087087087087086701e+01,1.115438674580456946e-05
-5.075075075075074693e+01,1.501607190372004189e-05
-5.063063063063063396e+01,4.340069598346390950e-06
-5.051051051051051388e+01,1.528534128795718149e-05
-5.039039039039040091e+01,2.149105475636687087e-06
-5.027027027027027373e+01,1.164409501053598417e-05
-5.015015015015014654e+01,2.525621225027121813e-06
-5.003003003003003357e+01,1.706581472671525113e-05
-4.990990990990991349e+01,2.102882944326847929e-05
-4.978978978978980052e+01,1.042634978591271960e-05
-4.966966966966967334e+01,7.294474095173337612e-06
-4.954954954954954616e+01,1.555248363606306510e-05
-4.942942942942942608e+01,1.564519731373478206e-05
-4.930930930930931311e+01,2.431678741417966938e-07
-4.918918918918919303e+01,1.037890096712282197e-05
-4.906906906906907295e+01,9.332258760009932206e-07
-4.894894894894894577e+01,1.207128544920320828e-05
-4.882882882882882569e+01,5.713740373049498752e-06
-4.870870870870871272e+01,1.114383392166269788e-05
-4.858858858858859264e+01,1.078133441334421366e-05
-4.846846846846846546e+01,7.815533183129792292e-06
-4.834834834834834538e+01,1.495510869524394894e-05
-4.822822822822822530e+01,2.317738992693947250e-06
-4.810810810810811233e+01,1.716423735412287113e-05
-4.798798798798799226e+01,4.588550197735698159e-06
-4.786786786786786507e+01,1.662673531522001837e-05
-4.774774774774775210e+01,1.187642492470839198e-05
-4.762762762762762492e+01,1.302820405344878795e-05
-4.750750750750750484e+01,1.826699967093846724e-05
-4.738738738738739187e+01,6.463176311036489704e-06
-4.726726726726726469e+01,2.246962929773364134e-05
-4.714714714714715171e+01,2.438788845048661548e-06
-4.702702702702702453e+01,2.331432040195696376e-05
-4.690690690690690445e+01,1.252208260401181773e-05
-4.678678678678679148e+01,1.999855022665614890e-05
-4.666666666666666430e+01,2.209842174343471492e-05
-4.654654654654654422e+01,1.223607416838698388e-05
-4.642642642642642414e+01,2.923817087014581869e-05
-4.630630630630630407e+01,6.224555765694034687e-07
-4.618618618618619109e+01,3.196045593842626093e-05
-4.606606606606607102e+01,1.326658099775000506e-05
-4.594594594594594383e+01,2.868314937960838687e-05
-4.582582582582581665e+01,2.693535174543247579e-05
-4.570570570570570368e+01,1.888369755438974395e-05
-4.558558558558558360e+01,3.717193736743208796e-05
-4.546546546546547063e+01,3.580541447479968639e-06
-4.534534534534535055e+01,4.084693009636064894e-05
-4.522522522522523047e+01,1.423857118184656782e-05
-4.510510510510510329e+01,3.618106204516753822e-05
-4.498498498498498321e+01,3.051204834620349044e-05
-4.486486486486487024e+01,2.023100684599373237e-05
-4.474474474474475016e+01,2.148681865263220945e-05
-4.462462462462462298e+01,6.308337261299509769e-05
-4.450450450450450290e+01,1.560033069940180333e-04
-4.438438438438438283e+01,1.845293080637199412e-04
-4.426426426426426985e+01,1.829092339392178576e-04
-4.414414414414414978e+01,2.130561221430024869e-04
-4.402402402402403681e+01,2.382205793251884133e-04
-4.390390390390390962e+01,1.713459816640839717e-04
-4.378378378378378244e+01,3.439283418695330397e-05
-4.366366366366366947e+01,3.894262398070073492e-05
-4.354354354354354939e+01,9.504870726425520709e-06
-4.342342342342342931e+01,6.974461728128315125e-05
-4.330330330330330924e+01,2.694376249541588668e-05
-4.318318318318318916e+01,6.103457202122225138e-05
-4.306306306306306197e+01,5.485266613330720177e-05
-4.294294294294294900e+01,4.035644239443636239e-05
-4.282282282282282893e+01,7.420836235416301027e-05
-4.270270270270270885e+01,1.143161378784418362e-05
-4.258258258258258877e+01,8.233075026157472907e-05
-4.246246246246246159e+01,2.139520705578723032e-05
-4.234234234234234862e+01,7.812058933704847251e-05
-4.222222222222222854e+01,5.400092159450438963e-05
-4.210210210210210846e+01,6.128093330797728495e-05
-4.198198198198198838e+01,8.219153801101396737e-05
-4.186186186186186120e+01,3.249970526187626513e-05
-4.174174174174174823e+01,1.014038424966777057e-04
-4.162162162162162815e+01,6.196987827229052232e-06
-4.150150150150150807e+01,1.070530781589806776e-04
-4.138138138138138800e+01,5.081365424162934011e-05
-4.126126126126126081e+01,9.518901490937385168e-05
-4.114114114114114074e+01,9.513106028758452990e-05
-4.102102102102102776e+01,6.361736218496527129e-05
-4.090090090090090769e+01,1.309169119018684341e-04
-4.078078078078078761e+01,1.321790508771475058e-05
-4.066066066066066043e+01,1.488428646213482546e-04
-4.054054054054054035e+01,5.077164743851719889e-05
-4.042042042042042738e+01,1.401376315444058049e-04
-4.030030030030030730e+01,1.180874847629802146e-04
-4.018018018018018722e+01,9.936590417619132446e-05
-4.006006006006006004e+01,1.736581977364653139e-04
-3.993993993993993996e+01,2.762347430431619301e-05
-3.981981981981982699e+01,1.999263157614788230e-04
-3.969969969969970691e+01,6.385231557862914447e-05
-3.957957957957958683e+01,1.824028873129530048e-04
-3.945945945945945255e+01,1.573265216202053942e-04
-3.933933933933933957e+01,8.308539876266296705e-05
-3.921921921921921950e+01,7.185575926306036467e-05
-3.909909909909910652e+01,3.941102341623109397e-04
-3.897897897897898645e+01,9.484446609577861171e-04
-3.885885885885885216e+01,1.185371134066691293e-03
-3.873873873873873919e+01,1.198877653342785574e-03
-3.861861861861861911e+01,1.303235159281322100e-03
-3.849849849849850614e+01,1.419711102236593473e-03
-3.837837837837838606e+01,1.158693229559559649e-03
-3.825825825825825888e+01,5.030706098543706638e-04
-3.813813813813813880e+01,1.719756589382444019e-05
-3.801801801801801872e+01,1.589351333950789679e-05
-3.789789789789789154e+01,2.168810230193800889e-04
-3.777777777777778567e+01,1.711414277584693590e-04
-3.765765765765765849e+01,1.268744546337574445e-04
-3.753753753753753131e+01,2.144088909746691494e-04
-3.741741741741741833e+01,3.906236747948204480e-05
-3.729729729729729115e+01,2.205820437960440041e-04
-3.717717717717718529e+01,4.182221943043250387e-05
-3.705705705705705810e+01,1.995173563517068716e-04
-3.693693693693693092e+01,1.091503410939210356e-04
-3.681681681681681795e+01,1.608679219035859991e-04
-3.669669669669669076e+01,1.626244608563771692e-04
-3.657657657657658490e+01,1.094013563360370984e-04
-3.645645645645645061e+01,2.030249095814130368e-04
-3.633633633633633053e+01,4.596488766732172301e-05
-3.621621621621621756e+01,2.287521802784166333e-04
-3.609609609609609748e+01,2.979185801310138752e-05
-3.597597597597598451e+01,2.345030752547024272e-04
-3.585585585585585733e+01,1.162065903785933620e-04
-3.573573573573573725e+01,2.122288568620735248e-04
-3.561561561561561717e+01,2.066663926612150829e-04
-3.549549549549549710e+01,1.535836222429057707e-04
-3.537537537537538412e+01,2.880861355165031902e-04
-3.525525525525526405e+01,5.387836010163835608e-05
-3.513513513513513686e+01,3.410643009242502800e-04
-3.501501501501500968e+01,8.336221114302471455e-05
-3.489489489489489671e+01,3.424653151074519807e-04
-3.477477477477477663e+01,2.419936793607797073e-04
-3.465465465465465655e+01,2.713247581965459992e-04
-3.453453453453454358e+01,3.904478351149483694e-04
-3.441441441441440929e+01,1.180352834323643069e-04
-3.429429429429429632e+01,4.829239917789843618e-04
-3.417417417417417624e+01,1.027386792216798000e-04
-3.405405405405406327e+01,4.721891168194777854e-04
-3.393393393393394319e+01,3.728997675991271052e-04
-3.381381381381381601e+01,1.320091073792355109e-04
-3.369369369369369593e+01,1.560750554243492318e-04
-3.357357357357357586e+01,1.683345475440010649e-03
-3.345345345345346288e+01,3.470053657729781950e-03
-3.333333333333334281e+01,4.442078274289914912e-03
-3.321321321321322273e+01,4.731181090103921821e-03
-3.309309309309308844e+01,5.029694019887334319e-03
-3.297297297297297547e+01,5.165182535893896899e-03
-3.285285285285285539e+01,4.264215748790207809e-03
-3.273273273273273531e+01,2.304787866155899589e-03
-3.261261261261262234e+01,5.628544708406232194e-04
-3.249249249249248805e+01,9.296828067911384343e-05
-3.237237237237237508e+01,4.319950235375228558e-04
-3.225225225225225500e+01,4.222867712940793473e-04
-3.213213213213213493e+01,1.323959222007049287e-04
-3.201201201201202196e+01,4.175473870899246674e-04
-3.189189189189188767e+01,4.475439597744484960e-05
-3.177177177177177114e+01,3.466236226619930430e-04
-3.165165165165165462e+01,1.572199154186274027e-04
-3.153153153153153454e+01,2.497531741829064531e-04
-3.141141141141141802e+01,2.102244597768851420e-04
-3.129129129129128728e+01,1.616866402814716647e-04
-3.117117117117117076e+01,2.268632342683804645e-04
-3.105105105105105423e+01,9.537743998320666588e-05
-3.093093093093093771e+01,2.318082755262972398e-04
-3.081081081081081763e+01,4.593755484172665812e-05
-3.069069069069069045e+01,2.415348336715294694e-04
-3.057057057057057037e+01,2.037483133692084456e-06
-3.045045045045045384e+01,2.591964195157470141e-04
-3.033033033033033732e+01,6.610838656828284807e-05
-3.021021021021021369e+01,2.741312690683720701e-04
-3.009009009009009006e+01,1.577480600360386487e-04
-2.996996996996996643e+01,2.648232424483422409e-04
-2.984984984984984990e+01,2.754145764810355724e-04
-2.972972972972973338e+01,2.052751649030498627e-04
-2.960960960960961330e+01,3.999976959273059346e-04
-2.948948948948948612e+01,7.451788755084253195e-05
-2.936936936936936604e+01,4.938364911782272071e-04
-2.924924924924924952e+01,1.312023644435686886e-04
-2.912912912912913299e+01,5.060815985685807906e-04
-2.900900900900901291e+01,3.853773237887578567e-04
-2.888888888888888573e+01,3.867451164257741571e-04
-2.876876876876876565e+01,6.205705561368839163e-04
-2.864864864864864913e+01,1.147762103566517348e-04
-2.852852852852853260e+01,7.482711543397910616e-04
-2.840840840840841608e+01,4.224494623024555745e-04
-2.828828828828828890e+01,1.554624714327866716e-04
-2.816816816816816171e+01,1.773723510033227728e-03
-2.804804804804804519e+01,5.472233816583109249e-03
-2.792792792792792156e+01,9.482915120876332996e-03
-2.780780780780781214e+01,1.223595280086988563e-02
-2.768768768768768851e+01,1.378658547184472352e-02
-2.756756756756756133e+01,1.463254028840630695e-02
-2.744744744744744480e+01,1.415373874908215819e-02
-2.732732732732732117e+01,1.136624509271732739e-02
-2.720720720720721175e+01,6.883351227598164500e-03
-2.708708708708708812e+01,2.917017543843167162e-03
-2.696696696696696094e+01,1.030564526656023785e-03
